Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
1030,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Axotla,1001
1060,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Altavista,1001
1090,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Tizapan,1001
1120,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Cove,1131
1130,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Real del Monte,1131
1210,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Santa Fe,1291
1230,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Piru 2a Ampliación,1291
1259,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación La Cebada,1291
1260,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Palmita,1291
1278,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Desarrollo Urbano,1291
1289,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Reacomodo El Cuernito,1291
1376,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Santa Fe Peña Blanca,1291
1480,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Plateros,1401
1548,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Villa Progresista,1401
1630,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Puerta Grande,1401
1650,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Santa Lucía Chantepec,1401
1710,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Alpes,1001
1720,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Guadalupe,1001
1729,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Alcantarilla,1001
1770,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Angostura,1001
1870,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de los Cedros,1001
2040,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Del Maestro,2011
2090,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,San Álvaro,2011
2099,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Ángel Zimbrón,2011
2100,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,El Rosario,2011
2109,Ciudad de México,Azcapotzalco,Ciudad de México,Unidad habitacional,Manuel Rivera Anaya CROC 1,2011
2120,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,San Martín Xochinahuac,2011
2150,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Pasteros,2011
