X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-99.175711,19.4231933,"Bosque de Chapultepec, Puerta de los Leones",,,,,,-1,0,-1,,
-99.1499681,19.3514956,Locatel,,,,,,-1,0,-1,,
-99.1332049,19.4326018,Zócalo,,,,,,-1,0,-1,,
-99.153893,19.4296448,Abraham González 67,,,,,,-1,0,-1,,
-99.1671411,19.2920558,Avenida San Fernando 160,,,,,,-1,0,-1,,
-99.1644725,19.4117922,Procuraduría Ambiental y del Ordenamiento Territorial,,,,,,-1,0,-1,,
-99.1400208,19.4224269,SEDESO,,,,,,-1,0,-1,,
-99.1716566,19.4092044,Casa Refugio Citlaltepetl,,,,,,-1,0,-1,,
-99.136572,19.469467,Metro La Raza - STC Metro,,,,,,-1,0,-1,,
-99.1546109,19.430264,Sistema M1,,,,,,-1,0,-1,,
-99.1973349,19.4246091,Campo Militar Marte,,,,,,-1,0,-1,,
-99.158179,19.365916,DIF Nacional,,,,,,-1,0,-1,,
-99.1683694,19.3556707,Almacén General del DIF,,,,,,-1,0,-1,,
-99.186169,19.3074184,Casa Hogar para Niñas Graciela Zubirán,,,,,,-1,0,-1,,
