,AlimentosExistentes,AlimentosFaltantes,ArtculosUrgentes,Calle,Colonia,Delegacinomunicipio,EspecialistasExistentesseparaporcomas,EspecialistasFaltantesseparaporcomas,Estado,HerramientasExistentes,HerramientasFaltantes,Horariodeatencin,Marcatemporal,MedicamentosExistentes,MedicamentosFaltantes,Nombredelcentro,Nombredelcontacto,Nmero,OtrosArtculosqueNecesitan,Serequierevoluntarios,Telfono,TelfonoAcopio,Verificado,latitud,longitud
32,,Abarrotes en general y no perecederos,"Lonas, Impermeables, Lámparas, Pilas",Lindavista,Lindavista,Gustavo A. Madero,nan,nan,,,,,20/09/2017 20:53:37,,,Parque Miguel Alemán,Luis Angel Pérez,267,,Sí,5538043600,,Sí,16.7566867,-93.1341992
41,,,Manos para cargar trailer que va a Jojutla,Cerro de chapultepec,Romero de Terreros,Coyoacan,nan,nan,Ciudad de México,,,Sale 11.00pm,20/09/2017 22:39:48,,,Cerro chapultepec 43,Raymundo Sanchez,43,.,Sí,044 55 4354 4661,,Sí,19.3383746,-99.1773431
42,Agua y comida caliente va para Morelos maana no se necesita,Comida enlatada arroz frijol y medicinas,"Comida enlatada, arroz y frijol",Acoxpa y Miramontes,Villa Coapa,Tlalpan,nan,nan,Ciudad de México,no sobran,palas picos cascos,hasta las 10 am mañana 21 de sep. (porque se va todo a Morelos),20/09/2017 23:30:36,nada,Todo lo bsico,Mercado de Villa Coapa,Alma Maldonado,3775,ropa,Sí,5527365707,,Sí,19.2953944,-99.1259187
43,No alimentos ,No alimentos ,"MEDICAMENTOS Y MATERIAL DE CURACIÓN (NO CADUCADOS)
Alcohol, Gasas, Vendas 10 cm , Agua oxigenada , Jeringas de 5 y 10 ml, Jeringas de insulina de 3.5, Agujas hipodérmicas de todos los calibres,  Curitas, Algodón, Paracetamol, Analgésicos 
Insulina rápida o regular y NPH (conservada en hielo en recipientes que se puedan conservar en buen estado), Salbutamol en spray , Atropina de 1 mg, Adrenalina 1 mg, Rivotril o Tafil, Llave de tres vías, Guantes desechables, Cubrebocas, Guantes quirúrgicos, Cepillos quirúrgicos, Cinta micropore de 5 y 10 cm, Ibuprofeno, Mertiolate Equipo para venoclisis, Solución fisiológica de 500 ml, Solución HARTMAN, Electrodos, Punsos N. 18, 14, 16, 20, 22, Antibióticos, Tela adhesiva de 5 y 10 cm, Pañales para bebés y adulto, Bromuro de ipratropio solución y Gotas oftálmicas.  
HERRAMIENTAS Y OTROS MATERIALES
Pilas AA, AAA y cuadradas, lámparas de emergencia y linternas, cascos, guantes de carnaza, impermeables, lazos, cuerdas, lentes de protección, picos, palas, carretillas, cubetas o botes, cajas de cartón, seguetas, mazos, chalecos de seguridad, botas tipo cat, cobijas, casas de campaña, esmeriles, discos para concreto y fierro, aceite para maquinaria, pinzas de corte y herramientas que consideren de ayuda.  ",Basiliso Romo Anguiano ,Guadalupe Insurgentes ,Gustavo A. Madero ,nan,nan,Ciudad de México,Ninguna ,HERRAMIENTAS Y OTROS MATERIALESPilas AA AAA y cuadradas lmparas de emergencia y linternas cascos guantes de carnaza impermeables lazos cuerdas lentes de proteccin picos palas carretillas cubetas o botes cajas de cartn seguetas mazos chalecos de seguridad botas tipo cat cobijas casas de campaa esmeriles discos para concreto y fierro aceite para maquinaria pinzas de corte y herramientas que consideren de ayuda  ,9:00 AM a 20:00 horas. ,20/09/2017 23:49:58,Ninguno ,MEDICAMENTOS Y MATERIAL DE CURACIN NO CADUCADOSAlcohol Gasas Vendas  cm  Agua oxigenada  Jeringas de  y  ml Jeringas de insulina de  Agujas hipodrmicas de todos los calibres  Curitas Algodn Paracetamol Analgsicos Insulina rpida o regular y NPH conservada en hielo en recipientes que se puedan conservar en buen estado Salbutamol en spray  Atropina de  mg Adrenalina  mg Rivotril o Tafil Llave de tres vas Guantes desechables Cubrebocas Guantes quirrgicos Cepillos quirrgicos Cinta micropore de  y  cm Ibuprofeno Mertiolate Equipo para venoclisis Solucin fisiolgica de  ml Solucin HARTMAN Electrodos Punsos N      Antibiticos Tela adhesiva de  y  cm Paales para bebs y adulto Bromuro de ipratropio solucin y Gotas oftlmicas  ,Acopio MEDICAMENTOS Y HERRAMIENTAS ,Antonio López ,217,Comida para mascotas. ,Sí,044.55.23.61.38.20,,Sí,19.4734672,-99.13201959999999
44,,,0,Av. San Diego,Vista Hermosa,Cuernavaca,nan,nan,Morelos,,,,20/09/2017 23:55:20,,,Fundacion Comunitaria Morelense,0,501,0,,0,,Sí,18.9415824,-99.21918819999999
45,,,0,Sufragio Efectivo,Emiliano Zapata,Cuautla,nan,nan,Morelos,,,,20/09/2017 23:56:17,,,Iglesia,0,0,0,,0,,Sí,18.821021,-98.95232279999999
46,,,0,Baluarte,Hidalgo,Cuautla,nan,nan,Morelos,,,,20/09/2017 23:57:12,,,Iglesia,0,71,0,,0,,Sí,18.8159789,-98.9489409
47,,,0,Del General Ignacio Rayon,Miguel Hidalgo,Cuautla,nan,nan,Morelos,,,,20/09/2017 23:58:09,,,Iglesia,0,106,0,,0,,Sí,18.8402394,-98.94059680000001
48,,,0,Ignacio Lopez Rayon,0,Cuautla,nan,nan,Morelos,,,,21/09/2017 0:00:28,,,Iglesia,0,180,0,,0,,Sí,18.8706628,-98.93050699999999
50,,,0,10 de Abril esquina Francisco I. Madero ,Emiliano Zapata,Jojutla de Juárez,nan,nan,Morelos,,,,21/09/2017 0:04:35,,,Jardin de Niños Fermina Rivera Viuda de Rivera,0,0,0,,0,,Sí,18.6143767,-99.1748135
51,,,0,Benito Juárez,Cuauhtemoc,Jojutla de Juárez,nan,nan,Morelos,,,,21/09/2017 0:05:38,,,Unidad Deportiva la Perseverancia,0,1,0,,0,,Sí,18.6228139,-99.1828228
52,,,0,Zayas Enríquez,Centro,Jojutla de Juárez,nan,nan,Morelos,,,,21/09/2017 0:08:02,,,DIF Jojutla,0,411,0,,0,,Sí,18.6123435,-99.18030209999999
54,,,0,Carretera Federal Alpuyeca Jojutla Km 13.5,Los Pilares,Galeana,nan,nan,Morelos,,,,21/09/2017 0:13:18,,,Hotel Monte Carlo,0,0,0,,01 734 343 0648,,Sí,18.6440341,-99.2146741
55,,,0,Av. Instituto Técnico Industrial y Comercial,Centro,Jojutla de Juárez,nan,nan,Morelos,,,,21/09/2017 0:15:39,,,Unidad Deportiva Niñoz Heroes,0,0,0,,0,,Sí,18.6177419,-99.1754213
56,,,0,Jiutepec-Yautepec de Zaragoza,Atlihuayan,Yautepec,nan,nan,Morelos,,,,21/09/2017 0:18:35,,,Unidad Deportiva Atlihuayan,0,41,0,,0,,Sí,18.8695038,-99.08146359999999
57,,,0,0,0,0,nan,nan,Morelos,,,,21/09/2017 0:22:55,,,Plaza Central Civica,0,0,0,,0,,Sí,19.3506224,-99.15741519999999
58,Alimentos perecederos ,Solo enlatados ,Ninguno,Álvaro Obregón ,Roma norte ,Cuauhtémoc ,nan,nan,Ciudad de México,Ninguna ,Excavacin personal  ,24 horas ,21/09/2017 0:24:05,Paracetamol ibuprofeno,Todos ,Jardín puskin,Héctor Ruiz,7,"Medicamentos, herramienta, agua embotellada de 1 litro ",Sí,5546147466,,Sí,19.330593,-103.6030285
59,,,0,Jiutepec-Yautepec de Zaragoza,Lomas del Texcal,Progreso,nan,nan,Morelos,,,,21/09/2017 0:26:51,,,Upemor,0,0,0,,0,,Sí,18.88719,-99.1247873
60,,,0,Poeta Isaías Alanis ,"Vista Hermosa, Centro",Jiutepec,nan,nan,Morelos,,,,21/09/2017 0:28:43,,,Colegio William Shakespear,0,39,0,,0,,Sí,18.8751786,-99.1774267
61,,,0,Carretera Emiliano Zapata,Miguel Hidalgo,Jiutepec,nan,nan,Morelos,,,,21/09/2017 0:30:12,,,Escuela Primaria Miguel Hidalgo,0,0,0,,0,,Sí,18.9049946,-99.20820420000001
62,,,0,0,Miguel Hidalgo,Jiutepec,nan,nan,Morelos,,,,21/09/2017 0:33:11,,,Comedor Comunitario,0,0,0,,0,,Sí,18.9298115,-99.17948609999999
63,,,0,Calle 50 Metros LT5-101,Civac Narciso Mendoza,Jiutepec,nan,nan,Morelos,,,,21/09/2017 0:34:35,,,Casa de Cultura CIVAC,0,0,0,,0,,Sí,18.9154709,-99.1643507
