Calle,Colonia,Delegacin,EspecialistasFaltantesseparaporcomas,Estado,Foto,HerramientasExistentes,HerramientasFaltantes,Hora,HoradelReporte,ManodeObraExistente,ManodeObraFaltante,MedicamentosExistentes,MedicamentosFaltantes,Municipio,NmeroExterioroAproximado,NmerodePersonasAtrapadas,NmerodePersonasDesaparecidas,NmerodePersonasFallecidas,NmerodePersonasLesionadas,NmerodePersonasRescatadas,OtraReferenciadeUbicacin,Timestamp,TipoDao,TipodeInfraestructura,TipodeUso,TipodelDao,Verificado,VveresExistentes,VveresFaltantes,VveresSobrantes,latitud,longitud
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 16:11:19,,,,,,,Se solicitan AGUA Y PILAS en estadio universitario,Si tienes info entra a: http://bit.ly/Verificado19s,19.33219734,-99.19013321
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 16:11:24,,,,,,,"viaducto y tonala , Se requieren seguetas , cubetas, pilas , lamparas y palas ",Si tienes info entra a: http://bit.ly/Verificado19s,19.4126449,-99.1612825
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 16:11:26,,,,,,,Se Necesita una Sierra electrica Urgente ,Si tienes info entra a: http://bit.ly/Verificado19s,19.3956842,-99.1613109
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 16:50:51,,,,,,,Protección Civil Revisión de Edificio,Si tienes info entra a: http://bit.ly/Verificado19s,19.4135917,-99.1739403
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:15:37,,,,,,,Ayuda Humana,Si tienes info entra a: http://bit.ly/Verificado19s,19.3875403321494,-99.1638475656509
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:23:27,,,,,,,"picos, palas, herramientas para exacavar y voluntarios",Si tienes info entra a: http://bit.ly/Verificado19s,19.3636391218132,-99.1423308849335
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:35:14,,,,,,,Se necesitan 200 voluntarios en Villa Olímpica para atender a damnificados,Si tienes info entra a: http://bit.ly/Verificado19s,19.2967168,-99.1880516
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:46:46,,,,,,,Necesitamos ayuda para hacer comida para los brigadistas,Si tienes info entra a: http://bit.ly/Verificado19s,19.4339483,-99.1477473
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:48:10,,,,,,,Pedimos voluntarios para la creación de despensas para los damnificados,Si tienes info entra a: http://bit.ly/Verificado19s,19.3589562,-99.2733694
,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,,,,,,09/20/2017 17:53:38,,,,,,,Pedimos voluntarios para brigadas,Si tienes info entra a: http://bit.ly/Verificado19s,19.3727256,-99.1842203
