,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
0,,CSVFilter,CSVFilter,CSVFilter,,,,,,,,,,,,,,,,,,,,Necesito,,CSVFilter,,,
1,,,ALVARO OBREGON,,,,,,,,,,,,,,,,,,2017-09-19 17:32:50,,,Ofrezco,,Manos,,19.4326077,-99.133208
2,,Emiliano Zapata,Ecatepec ,México ,,,,,,,,,,,,,,,,,2017-09-19 17:52:24,,,Ofrezco,,"Manos, Asistencia médica",,18.8426464,-99.1866995
3,,Santo Domingo ,Jesus maria ,Aguascalientes ,,,,,,,,,,,,,,,,,2017-09-19 18:03:10,,,Ofrezco,,"Hospedaje, dónde dormir, Medicamentos",,21.8645772,-102.3407312
4,,el fortin,zapopan,jalisco,,,,,,,,,,,,,,,,,2017-09-19 18:11:47,,,Ofrezco,,"Refugio / Dónde dormir, Artículos de limpieza, Ropa",,20.6432022,-103.4756929
5,,Tlatelolco ,Cuauhtémoc ,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-19 18:17:54,,,Ofrezco,,Manos,,19.4523693,-99.1384147
6,,Lomas de Chapultepec,Miguel Hidalgo,Mexico,,,,,,,,,,,,,,,,,2017-09-19 18:19:09,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Medicamentos, Ropa, Gasolina",,19.4249374,-99.2134442
7,,SANTIAGO,PUEBLA,PUEBLA,,,,,,,,,,,,,,,,,2017-09-19 18:21:09,,,Ofrezco,,Manos,,19.0412967,-98.2061996
8,,Geovillas,,Puebla,,,,,,,,,,,,,,,,,2017-09-19 18:24:05,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,19.0739438,-98.2794225
9,,,,DF,,,,,,,,,,,,,,,,,2017-09-19 18:27:26,,,Ofrezco,,Manos,,19.4326077,-99.133208
10,,Lomas de sotelo ,Miguel hidalgo,Mexico,,,,,,,,,,,,,,,,,2017-09-19 18:27:28,,,Ofrezco,,Manos,,19.45061,-99.2155215
11,,Cruz Manca,Cuajimalpa ,CDMX ,,,,,,,,,,,,,,,,,2017-09-19 18:30:26,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Manos, Ropa",,19.3442605,-99.273786
