X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,unnamed__1_,Marca_temporal,Calle,Numero_aproximado,Colonia,Delegacion,Nombre_contacto,Telefono,Articulos_Urgentes,Alimentos_Faltantes,Alimentos_Existentes,Medicamentos_Faltantes,Medicamentos_Existentes,Herramientas_Faltantes,Herramientas_Existentes,Otros_Articulos,Horario_Atencion,Requieren_voluntarios,Verificado,Estado,latitud,longitud
,,Centro cultural Ana María,"unnamed (1): 0<br>Marca temporal: 20/09/17 14:51<br>Calle: Pacífico junto parque Frida Kahlo<br>Numero_aproximado: 3<br>Colonia: San Andrés <br>Delegacion: Coyoacán<br>Nombre_contacto: Dra. Marcela Pérez Arreola<br>Telefono: 5549835575<br>Articulos_Urgentes: Hieleras y hielo<br>Alimentos_Faltantes: De primera necesidad<br>Alimentos_Existentes: No sobran<br>Medicamentos_Faltantes: Insulina, antibióticos<br>Medicamentos_Existentes: Ninguno<br>Herramientas_Faltantes: Palas, cascos, lámparas, pilas<br>Herramientas_Existentes: Ninguno<br>Otros_Articulos: Papel sanitario, toallas femeninas, pasta de dientes y cepillos de dientes<br>Horario_Atencion: De 8 a 8<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,0.0,20/09/17 14:51,Pacífico junto parque Frida Kahlo,3.0,San Andrés,Coyoacán,Dra. Marcela Pérez Arreola,5549835575,Hieleras y hielo,De primera necesidad,No sobran,"Insulina, antibióticos",Ninguno,"Palas, cascos, lámparas, pilas",Ninguno,"Papel sanitario, toallas femeninas, pasta de dientes y cepillos de dientes",De 8 a 8,No,,,,
,,Margarita Martínez Fisher,unnamed (1): 1<br>Marca temporal: 20/09/17 14:52<br>Calle: José Morán<br>Numero_aproximado: 71<br>Colonia: San Miguel Chapultepec<br>Delegacion: Miguel Hidalgo<br>Nombre_contacto: Margarita Martínez Fisher<br>Telefono: 5559662449<br>Articulos_Urgentes: Cualquiera<br>Alimentos_Faltantes: Cualquiera<br>Alimentos_Existentes: Ninguno<br>Medicamentos_Faltantes: Cualquiera<br>Medicamentos_Existentes: Ninguno<br>Herramientas_Faltantes: Cualquiera<br>Herramientas_Existentes: Ninguno<br>Otros_Articulos: Cualquiera<br>Horario_Atencion: 9 am a 9 pm<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:,,,,,,,-1,,,1.0,20/09/17 14:52,José Morán,71.0,San Miguel Chapultepec,Miguel Hidalgo,Margarita Martínez Fisher,5559662449,Cualquiera,Cualquiera,Ninguno,Cualquiera,Ninguno,Cualquiera,Ninguno,Cualquiera,9 am a 9 pm,No,,,,
-99.1705013,19.4292894,Guías de México,"unnamed (1): 2<br>Marca temporal: 20/09/17 15:04<br>Calle: Guadalquivir<br>Numero_aproximado: 93<br>Colonia: Cuauhtémoc<br>Delegacion: Cuauhtémoc<br>Nombre_contacto: Yolanda Sandoval <br>Telefono: 5570769247<br>Articulos_Urgentes: Pañales,  croquetas para perro y gato, toallitas húmedas, crema para rosaduras. <br>Alimentos_Faltantes: leche en polvo, alimentos preparados. <br>Alimentos_Existentes: nada<br>Medicamentos_Faltantes: Medicamentos básicos e insulina<br>Medicamentos_Existentes: nada<br>Herramientas_Faltantes: nada<br>Herramientas_Existentes: nada<br>Otros_Articulos: nada<br>Horario_Atencion: todo el día<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.4292894<br>longitud: -99.1705013",,,,,-1,0,-1,,,2.0,20/09/17 15:04,Guadalquivir,93.0,Cuauhtémoc,Cuauhtémoc,Yolanda Sandoval,5570769247,"Pañales,  croquetas para perro y gato, toallitas húmedas, crema para rosaduras.","leche en polvo, alimentos preparados.",nada,Medicamentos básicos e insulina,nada,nada,nada,nada,todo el día,No,,,19.4292894,-99.1705013
-99.1797443,19.2759696,Casa Xitla,"unnamed (1): 3<br>Marca temporal: 20/09/17 15:09<br>Calle: Convento<br>Numero_aproximado: 37<br>Colonia: Santa Úrsula Xitla <br>Delegacion: Tlalpan<br>Nombre_contacto: Pablo Romo<br>Telefono: 5555733360<br>Articulos_Urgentes: Pañales para bebé y adulto, toallas sanitarias, agua purificada<br>Alimentos_Faltantes: No perecederos <br>Alimentos_Existentes: Perecederos<br>Medicamentos_Faltantes: Gasas, guantes latex, tapabocas, alcohol, algodón, vendas, material de curación <br>Medicamentos_Existentes: Caducos y con necesidad de refrigeración <br>Herramientas_Faltantes: Picos, palas, cizallas, marros, cinceles <br>Herramientas_Existentes: Ninguna <br>Otros_Articulos: Cloro, cubetas, escobas, jergas, muletas, camillas <br>Horario_Atencion: 9:00 a 20:00<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.2759696<br>longitud: -99.1797443",,,,,-1,0,-1,,,3.0,20/09/17 15:09,Convento,37.0,Santa Úrsula Xitla,Tlalpan,Pablo Romo,5555733360,"Pañales para bebé y adulto, toallas sanitarias, agua purificada",No perecederos,Perecederos,"Gasas, guantes latex, tapabocas, alcohol, algodón, vendas, material de curación",Caducos y con necesidad de refrigeración,"Picos, palas, cizallas, marros, cinceles",Ninguna,"Cloro, cubetas, escobas, jergas, muletas, camillas",9:00 a 20:00,No,,,19.2759696,-99.1797443
-99.1847606,19.3808815,,unnamed (1): 4<br>Marca temporal: 20/09/17 15:21<br>Calle: Patriotismo <br>Numero_aproximado: 691<br>Colonia: Nonoalco<br>Delegacion: Mixcoac<br>Nombre_contacto: Leyre Iza Ruiz<br>Telefono: 5539449907<br>Articulos_Urgentes: Medicinas<br>Alimentos_Faltantes: Todo<br>Alimentos_Existentes: Nada<br>Medicamentos_Faltantes: Todos<br>Medicamentos_Existentes: nada<br>Herramientas_Faltantes: todo<br>Herramientas_Existentes: nada<br>Otros_Articulos: nada<br>Horario_Atencion: 0<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.3808815<br>longitud: -99.1847606,,,,,-1,0,-1,,,4.0,20/09/17 15:21,Patriotismo,691.0,Nonoalco,Mixcoac,Leyre Iza Ruiz,5539449907,Medicinas,Todo,Nada,Todos,nada,todo,nada,nada,0,No,,,19.3808815,-99.1847606
-99.1631588,19.3905835,Gabriel Mancera y Concepción Beistegui (aquí se reciben cosas para el derrumbe de la Calle Escocia a una cuadra),"unnamed (1): 5<br>Marca temporal: 20/09/17 15:55<br>Calle: Gabriel Mancera<br>Numero_aproximado: 701<br>Colonia: Del Valle<br>Delegacion: Benito Juárez<br>Nombre_contacto: Sandra Patargo (vía Itzia Miravete)<br>Telefono: 5550509822<br>Articulos_Urgentes: <br>Alimentos_Faltantes: Suero, cosas dulces<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: <br>Verificado: <br>Estado: <br>latitud: 19.3905835<br>longitud: -99.1631588",,,,,-1,0,-1,,,5.0,20/09/17 15:55,Gabriel Mancera,701.0,Del Valle,Benito Juárez,Sandra Patargo (vía Itzia Miravete),5550509822,,"Suero, cosas dulces",,,,,,,,,,,19.3905835,-99.1631588
-99.1295917,19.3947206,ISSTE Clínica de Medicina Familiar Xochimilco,"unnamed (1): 6<br>Marca temporal: 20/09/17 15:57<br>Calle: San Pedro <br>Numero_aproximado: 0<br>Colonia: Xochimilco<br>Delegacion: Xochimilco<br>Nombre_contacto: Isste<br>Telefono: 555555<br>Articulos_Urgentes: Alimentos, Ropa y Calzado, Artículos de higiene<br>Alimentos_Faltantes: Todos<br>Alimentos_Existentes: Nada<br>Medicamentos_Faltantes: Todos<br>Medicamentos_Existentes: NAda<br>Herramientas_Faltantes: Nada<br>Herramientas_Existentes: Nada<br>Otros_Articulos: Artículos médicos <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.3947206<br>longitud: -99.1295917",,,,,-1,0,-1,,,6.0,20/09/17 15:57,San Pedro,0.0,Xochimilco,Xochimilco,Isste,555555,"Alimentos, Ropa y Calzado, Artículos de higiene",Todos,Nada,Todos,NAda,Nada,Nada,Artículos médicos,,No,,,19.3947206,-99.1295917
,,Embarcadero Nativitas Zacapa,"unnamed (1): 7<br>Marca temporal: 20/09/17 15:59<br>Calle: Carretera Nativitas Tulyehualco- Xochimilco<br>Numero_aproximado: 0<br>Colonia: Santa María Nativas<br>Delegacion: San Jerónimo<br>Nombre_contacto: RescateCDMX<br>Telefono: 55555555<br>Articulos_Urgentes: <br>Alimentos_Faltantes: Alimentos no perecederos<br>Alimentos_Existentes: nada<br>Medicamentos_Faltantes: artículos de curación, insulina<br>Medicamentos_Existentes: nada<br>Herramientas_Faltantes: Picos, palas, polones, guantes, rodilleras, coderas. <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,7.0,20/09/17 15:59,Carretera Nativitas Tulyehualco- Xochimilco,0.0,Santa María Nativas,San Jerónimo,RescateCDMX,55555555,,Alimentos no perecederos,nada,"artículos de curación, insulina",nada,"Picos, palas, polones, guantes, rodilleras, coderas.",,,,No,,,,
-99.003589,19.3424376,Acopio para Tochimilco Puebla,unnamed (1): 8<br>Marca temporal: 20/09/17 15:59<br>Calle: Montes de Oca<br>Numero_aproximado: 52<br>Colonia: Condesa<br>Delegacion: Cuauhtemoc<br>Nombre_contacto: Sandra Patargo (vía Juan Pablo Morales)<br>Telefono: 5550509822<br>Articulos_Urgentes: Cobijas<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: <br>Verificado: <br>Estado: <br>latitud: 19.3424376<br>longitud: -99.003589,,,,,-1,0,-1,,,8.0,20/09/17 15:59,Montes de Oca,52.0,Condesa,Cuauhtemoc,Sandra Patargo (vía Juan Pablo Morales),5550509822,Cobijas,,,,,,,,,,,,19.3424376,-99.003589
-99.1661405,19.3815999,Acopio para Tochimilco Puebla 2,unnamed (1): 9<br>Marca temporal: 20/09/17 16:00<br>Calle: Manuel López Cotilla<br>Numero_aproximado: 1822<br>Colonia: Del Valle<br>Delegacion: Coyoacan<br>Nombre_contacto: Sandra Patargo (vía Juan Pablo Morales)<br>Telefono: 5550509822<br>Articulos_Urgentes: <br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: <br>Verificado: <br>Estado: <br>latitud: 19.3815999<br>longitud: -99.1661405,,,,,-1,0,-1,,,9.0,20/09/17 16:00,Manuel López Cotilla,1822.0,Del Valle,Coyoacan,Sandra Patargo (vía Juan Pablo Morales),5550509822,,,,,,,,,,,,,19.3815999,-99.1661405
,,BeatBox Santa Fe,"unnamed (1): 10<br>Marca temporal: 20/09/17 16:08<br>Calle: Av Sta Fe 482<br>Numero_aproximado: 481<br>Colonia: Lomas de Santa Fe<br>Delegacion: Santa Fe<br>Nombre_contacto: Mariel<br>Telefono: 5554320308<br>Articulos_Urgentes: Vendas, Medicinas, Toallas, Jeringas, Lámparas, Pilas, Gasas<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Dopamina, adrenalina, insulina, mascarillas de oxigeno<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Broca de concreto, pinzas de presión, patas de cabra, cinceles<br>Herramientas_Existentes: <br>Otros_Articulos: Sábanas, ropa, extensiones, pilas, lamparas<br>Horario_Atencion: hasta las 20:00<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,10.0,20/09/17 16:08,Av Sta Fe 482,481.0,Lomas de Santa Fe,Santa Fe,Mariel,5554320308,"Vendas, Medicinas, Toallas, Jeringas, Lámparas, Pilas, Gasas",,,"Dopamina, adrenalina, insulina, mascarillas de oxigeno",,"Broca de concreto, pinzas de presión, patas de cabra, cinceles",,"Sábanas, ropa, extensiones, pilas, lamparas",hasta las 20:00,No,,,,
-99.1713269,19.3872847,SERAPAZ,"unnamed (1): 11<br>Marca temporal: 20/09/17 16:38<br>Calle: Patricio Sanz<br>Numero_aproximado: 449<br>Colonia: Colonia del Valle<br>Delegacion: Benito Juarez<br>Nombre_contacto: Citlali Hernandez<br>Telefono: 5540102664<br>Articulos_Urgentes: Nada urgente. Nosotros estamos redistribuyendo en coches.<br>Alimentos_Faltantes: Barras, galletas<br>Alimentos_Existentes: Barras, galletas<br>Medicamentos_Faltantes: Primeros auxilios<br>Medicamentos_Existentes: Primeros auxilios<br>Herramientas_Faltantes: Todo<br>Herramientas_Existentes: Todo<br>Otros_Articulos: Todos<br>Horario_Atencion: Hasta las 7pm<br>Requieren_voluntarios: Sí<br>Verificado: <br>Estado: <br>latitud: 19.3872847<br>longitud: -99.1713269",,,,,-1,0,-1,,,11.0,20/09/17 16:38,Patricio Sanz,449.0,Colonia del Valle,Benito Juarez,Citlali Hernandez,5540102664,Nada urgente. Nosotros estamos redistribuyendo en coches.,"Barras, galletas","Barras, galletas",Primeros auxilios,Primeros auxilios,Todo,Todo,Todos,Hasta las 7pm,Sí,,,19.3872847,-99.1713269
-99.1407516,19.5521846,Iglesia de San Bernardino,"unnamed (1): 12<br>Marca temporal: 20/09/17 16:53<br>Calle: Av. 16 de septiembre<br>Numero_aproximado: 0<br>Colonia: Xochimilco <br>Delegacion: Xochimilco <br>Nombre_contacto: Samantha callejas<br>Telefono: 5545013667<br>Articulos_Urgentes: Higiene personal, gasolina para motos, lonas<br>Alimentos_Faltantes: Aceite, <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Gazas, paracetamol, Ketorolaco, ibuprofeno<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.5521846<br>longitud: -99.1407516",,,,,-1,0,-1,,,12.0,20/09/17 16:53,Av. 16 de septiembre,0.0,Xochimilco,Xochimilco,Samantha callejas,5545013667,"Higiene personal, gasolina para motos, lonas","Aceite,",,"Gazas, paracetamol, Ketorolaco, ibuprofeno",,,,,,No,,,19.5521846,-99.1407516
-99.1806555,19.4067259,La Salle Condesa,unnamed (1): 13<br>Marca temporal: 20/09/17 16:58<br>Calle: Benjamín Franklin<br>Numero_aproximado: 45<br>Colonia: Condesa<br>Delegacion: Miguel Hidalgo<br>Nombre_contacto: ulsa<br>Telefono: 5552789500<br>Articulos_Urgentes: <br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: Sí<br>Verificado: <br>Estado: <br>latitud: 19.4067259<br>longitud: -99.1806555,,,,,-1,0,-1,,,13.0,20/09/17 16:58,Benjamín Franklin,45.0,Condesa,Miguel Hidalgo,ulsa,5552789500,,,,,,,,,,Sí,,,19.4067259,-99.1806555
-99.133521,19.2943557,,"unnamed (1): 14<br>Marca temporal: 20/09/17 17:02<br>Calle: Hacienda de la Huerta <br>Numero_aproximado: 33<br>Colonia: Seccion Prados Coapa<br>Delegacion: Tlalpan<br>Nombre_contacto: Victor Hugo Cordoba<br>Telefono: 5554036621<br>Articulos_Urgentes: Cobijas, gasas, algodon, mertiolate, alcohol<br>Alimentos_Faltantes: Preparados, no perecederos, agua<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: linternas, baterias, <br>Herramientas_Existentes: <br>Otros_Articulos: pañales para adultos<br>Horario_Atencion: toda la noche<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.2943557<br>longitud: -99.133521",,,,,-1,0,-1,,,14.0,20/09/17 17:02,Hacienda de la Huerta,33.0,Seccion Prados Coapa,Tlalpan,Victor Hugo Cordoba,5554036621,"Cobijas, gasas, algodon, mertiolate, alcohol","Preparados, no perecederos, agua",,,,"linternas, baterias,",,pañales para adultos,toda la noche,No,,,19.2943557,-99.133521
-99.139392,19.3675148,"Deportivo ""Benito Juárez"", Parque de los Venados","unnamed (1): 15<br>Marca temporal: 20/09/17 17:04<br>Calle: Municipio Libre<br>Numero_aproximado: 338<br>Colonia: Colonia del Valle<br>Delegacion: Benito Juárez <br>Nombre_contacto: Juan Pablo Anaya<br>Telefono: 5571118904<br>Articulos_Urgentes: Insulina, adrenalina, anticonvulsivos, antihipertensivos y antidiabeticos<br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Insulina, Adrenalina, anticonvulsivos, antihipetensivos y antidiabeticos<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: <br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.3675148<br>longitud: -99.139392",,,,,-1,0,-1,,,15.0,20/09/17 17:04,Municipio Libre,338.0,Colonia del Valle,Benito Juárez,Juan Pablo Anaya,5571118904,"Insulina, adrenalina, anticonvulsivos, antihipertensivos y antidiabeticos",,,"Insulina, Adrenalina, anticonvulsivos, antihipetensivos y antidiabeticos",,,,,,No,,,19.3675148,-99.139392
-99.1060489,19.3952362,Ramos Millan,"unnamed (1): 16<br>Marca temporal: 20/09/17 17:27<br>Calle: Sur 117<br>Numero_aproximado: 2520<br>Colonia: Ramos Millan<br>Delegacion: Iztacalco<br>Nombre_contacto: Martha Rodríguez<br>Telefono: No sé cuenta<br>Articulos_Urgentes: Materiales de curación, analgésicos, antiinflamatorios, gasa, vendas, palas, sierras y cobijas. <br>Alimentos_Faltantes: Alimentos enlatados<br>Alimentos_Existentes: <br>Medicamentos_Faltantes: Analgésicos, antibiótico, antiinflamatorios, sedantes.<br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Martillos, lámparas de cabeza, baterías, palas<br>Herramientas_Existentes: <br>Otros_Articulos: Artículos de higiene personal<br>Horario_Atencion: Día 20 de septiembre hasta las 10pm<br>Requieren_voluntarios: Sí<br>Verificado: <br>Estado: <br>latitud: 19.3952362<br>longitud: -99.1060489",,,,,-1,0,-1,,,16.0,20/09/17 17:27,Sur 117,2520.0,Ramos Millan,Iztacalco,Martha Rodríguez,No sé cuenta,"Materiales de curación, analgésicos, antiinflamatorios, gasa, vendas, palas, sierras y cobijas.",Alimentos enlatados,,"Analgésicos, antibiótico, antiinflamatorios, sedantes.",,"Martillos, lámparas de cabeza, baterías, palas",,Artículos de higiene personal,Día 20 de septiembre hasta las 10pm,Sí,,,19.3952362,-99.1060489
,,Parque Las Americas,"unnamed (1): 17<br>Marca temporal: 20/09/17 17:29<br>Calle: Diagonal San Antonio y Doctor Vertiz<br>Numero_aproximado: 0<br>Colonia: Narvarte<br>Delegacion: Benito Juárez<br>Nombre_contacto: Dolores Rojas<br>Telefono: 5554164607<br>Articulos_Urgentes: sueros bebibles para brigadistas, vendas, gasas, alcohol, analgésicos, cubrebocas industriales, guantes de carnaza, cascos<br>Alimentos_Faltantes: no se necesita<br>Alimentos_Existentes: comida preparada<br>Medicamentos_Faltantes: solución salina, ketorolaco, paracetamol, gotas para los ojos<br>Medicamentos_Existentes: botiquines armados a disposición<br>Herramientas_Faltantes: lámparas, baterias<br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: 6 am a media noche<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,17.0,20/09/17 17:29,Diagonal San Antonio y Doctor Vertiz,0.0,Narvarte,Benito Juárez,Dolores Rojas,5554164607,"sueros bebibles para brigadistas, vendas, gasas, alcohol, analgésicos, cubrebocas industriales, guantes de carnaza, cascos",no se necesita,comida preparada,"solución salina, ketorolaco, paracetamol, gotas para los ojos",botiquines armados a disposición,"lámparas, baterias",,,6 am a media noche,No,,,,
,,Medellín y viaducto,"unnamed (1): 18<br>Marca temporal: 20/09/17 17:45<br>Calle: Medellín y viaducto <br>Numero_aproximado: 750<br>Colonia: La Del Valle <br>Delegacion: Benito Juárez <br>Nombre_contacto: Teresita lucia <br>Telefono: 5533351895<br>Articulos_Urgentes: Bolsas de plástico, mantas, botiquines, herramienta, linternas, impermeables, baterías, mazos y picos <br>Alimentos_Faltantes: Se está recibiendo todo <br>Alimentos_Existentes: Alimentos perecederos <br>Medicamentos_Faltantes: De todo tipo aquí se manda en motos y bicis a todos los derrumbes <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: Picos, mazos, herramienta para cortar metal <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: 24 horas <br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: <br>longitud:",,,,,,,-1,,,18.0,20/09/17 17:45,Medellín y viaducto,750.0,La Del Valle,Benito Juárez,Teresita lucia,5533351895,"Bolsas de plástico, mantas, botiquines, herramienta, linternas, impermeables, baterías, mazos y picos",Se está recibiendo todo,Alimentos perecederos,De todo tipo aquí se manda en motos y bicis a todos los derrumbes,,"Picos, mazos, herramienta para cortar metal",,,24 horas,No,,,,
,,Medellín y viaducto,unnamed (1): 19<br>Marca temporal: 20/09/17 17:52<br>Calle: Medellín y viaducto<br>Numero_aproximado: 750<br>Colonia: Del valle<br>Delegacion: Benito Juárez <br>Nombre_contacto: Teresita lucia <br>Telefono: 5533351795<br>Articulos_Urgentes: <br>Alimentos_Faltantes: <br>Alimentos_Existentes: <br>Medicamentos_Faltantes: <br>Medicamentos_Existentes: <br>Herramientas_Faltantes: <br>Herramientas_Existentes: <br>Otros_Articulos: <br>Horario_Atencion: Solo se requieren bicis y motos para transportar ayuda <br>Requieren_voluntarios: Sí<br>Verificado: <br>Estado: <br>latitud: <br>longitud:,,,,,,,-1,,,19.0,20/09/17 17:52,Medellín y viaducto,750.0,Del valle,Benito Juárez,Teresita lucia,5533351795,,,,,,,,,Solo se requieren bicis y motos para transportar ayuda,Sí,,,,
-99.1596333,19.4174553,MARIA ELENA HERNANDEZ LARA,"unnamed (1): 20<br>Marca temporal: 20/09/17 18:13<br>Calle: Chihuahua<br>Numero_aproximado: 215<br>Colonia: Roma Norte<br>Delegacion: Cuauhtemoc<br>Nombre_contacto: El Colibrí<br>Telefono: 5516948971<br>Articulos_Urgentes: Lonas, lamparas y cobijas<br>Alimentos_Faltantes: Enlatados y preparados porque no hay gas<br>Alimentos_Existentes: Por ahora ninguno<br>Medicamentos_Faltantes: No es necesario<br>Medicamentos_Existentes: Ninguno<br>Herramientas_Faltantes: Mazos, cuerdas, argollas y polines<br>Herramientas_Existentes: Ninguna<br>Otros_Articulos: Articulos de higiene personal<br>Horario_Atencion: 8 a 20 hrs<br>Requieren_voluntarios: No<br>Verificado: <br>Estado: <br>latitud: 19.4174553<br>longitud: -99.1596333",,,,,-1,0,-1,,,20.0,20/09/17 18:13,Chihuahua,215.0,Roma Norte,Cuauhtemoc,El Colibrí,5516948971,"Lonas, lamparas y cobijas",Enlatados y preparados porque no hay gas,Por ahora ninguno,No es necesario,Ninguno,"Mazos, cuerdas, argollas y polines",Ninguna,Articulos de higiene personal,8 a 20 hrs,No,,,19.4174553,-99.1596333
