X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Tipo,entrecalles,colonia,calle,numero_exterior,Necesidades,link_google_maps,lon,lat,entidad
-99.1963563,19.429145,Angela Peralta,"Tipo: Centro de acopio<br>entrecalles: <br>colonia: Polanco<br>calle: Aristóteles<br>numero_exterior: S/N<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Angela+Peralta+Theater/@19.429145,-99.1963563,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201ff46af33c5:0xc5815ea7a499dbe0!8m2!3d19.429145!4d-99.1941676<br>lon: -99.1963563<br>lat: 19.429145<br>entidad: CDMX",,,,,-1,0,-1,,,Centro de acopio,,Polanco,Aristóteles,S/N,,"https://www.google.com.mx/maps/place/Angela+Peralta+Theater/@19.429145,-99.1963563,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201ff46af33c5:0xc5815ea7a499dbe0!8m2!3d19.429145!4d-99.1941676",-99.1963563,19.429145,CDMX
-99.1921777,19.3319125,Estadio Olímpico Universitario,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.1332049,19.4326018,Zócalo,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.1711504,19.4153363,España Park,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.2090266,19.4377491,Cruz Roja,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.1667107,19.4199258,Glorieta De Cibeles,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.1691057,19.411927,Parque México,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.1911927,19.4315305,Glorieta de Masaryk,Tipo: Centro de Acopio<br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: -99.1911927<br>lat: 19.4315305<br>entidad:,,,,,-1,0,-1,,,Centro de Acopio,,,,,,,-99.1911927,19.4315305,
-99.2506174,19.3908369,Paseo de Los Tamarindos 49,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.2531538,19.4009876,Bosque de Avellanos 142,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.2631874,19.37948,Bosque de Toronjos 39,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.2418661,19.3905401,Cda. de Bezares 130,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
-99.2082073,19.4203292,Blvd. de los Virreyes 110,Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:,,,,,-1,0,-1,,,,,,,,,,,,
