X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Direcci__n,Ciudad__Estado,Nombre,Tel__fono,Informaci__n_Adicional,URL
-99.1933737,19.4489988,Albergue Delegacional,"Dirección: Lago Erne<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Deportivo José María Morelos y Pavon<br>Teléfono: 5553996461<br>Información Adicional: Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX<br>URL:",,,,,-1,0,-1,,,Lago Erne,Miguel Hidalgo,Deportivo José María Morelos y Pavon,5553996461,"Lago Erne sn, Col. Reforma Pensil, Miguel Hidalgo, CDMX",
-99.1729651,19.4542315,Albergue Delegacional,"Dirección: FC Cuernavaca<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Deportivo Plan Sexenal<br>Teléfono: 5553418817<br>Información Adicional: Ferrocarril de Cuernavaca sn, Miguel Hidalgo, CDMX<br>URL: www.miguelhidalgo.gob.mx",,,,,-1,0,-1,,,FC Cuernavaca,Miguel Hidalgo,Deportivo Plan Sexenal,5553418817,"Ferrocarril de Cuernavaca sn, Miguel Hidalgo, CDMX",www.miguelhidalgo.gob.mx
-99.1994238,19.3879044,Albergue,"Dirección: Escuadrón 201<br>Ciudad, Estado: Álvaro Obregón<br>Nombre: Gimnasio G3<br>Teléfono: <br>Información Adicional: <br>URL:",,,,,-1,0,-1,,,Escuadrón 201,Álvaro Obregón,Gimnasio G3,,,
-99.0266532,19.2000098,Albergue,"Dirección: Sinaloa Nte.<br>Ciudad, Estado: CDMX<br>Nombre: Gimnasio de Villa Milpa Alta<br>Teléfono: +52 55 5844 1920<br>Información Adicional: <br>URL:",,,,,-1,0,-1,,,Sinaloa Nte.,CDMX,Gimnasio de Villa Milpa Alta,+52 55 5844 1920,,
-99.1871757,19.2968874,Albergue,"Dirección: Sur 3493<br>Ciudad, Estado: CDMX<br>Nombre: Villa Olimpica<br>Teléfono: +52 55 5424 0809<br>Información Adicional: <br>URL:",,,,,-1,0,-1,,,Sur 3493,CDMX,Villa Olimpica,+52 55 5424 0809,,
-99.2855667,19.3639264,Albergue,"Dirección: Castorena 545<br>Ciudad, Estado: CDMX<br>Nombre: Deportivo Morelos<br>Teléfono: <br>Información Adicional: <br>URL:",,,,,-1,0,-1,,,Castorena 545,CDMX,Deportivo Morelos,,,
-99.1211187,19.3032979,Albergue Delegacional,"Dirección: Calz. del Hueso<br>Ciudad, Estado: Tlalpan, CDMX<br>Nombre: Centro Social y Deportivo Rosario Iglesias Rocha<br>Teléfono: <br>Información Adicional: Calz. del Hueso #400, Col. Los Girasoles, Del. Tlalpan<br>URL: www.deporte.df.gob.mx",,,,,-1,0,-1,,,Calz. del Hueso,"Tlalpan, CDMX",Centro Social y Deportivo Rosario Iglesias Rocha,,"Calz. del Hueso #400, Col. Los Girasoles, Del. Tlalpan",www.deporte.df.gob.mx
-99.0818493,19.3935445,Albergue,"Dirección: Sur 20<br>Ciudad, Estado: CDMX<br>Nombre: CIAM<br>Teléfono: <br>Información Adicional: sur 20 esquina 229 Agrícola Oriental, 08500 Ciudad de México<br>URL:",,,,,-1,0,-1,,,Sur 20,CDMX,CIAM,,"sur 20 esquina 229 Agrícola Oriental, 08500 Ciudad de México",
-99.19285,19.49844,Albergue SEDESO,"Dirección: Av. del Rosario<br>Ciudad, Estado: Azcapotzalco<br>Nombre: CAIS Azcapotzalco<br>Teléfono: <br>Información Adicional: Col. San Martín Xochinahuac, Del. Azcapotzalco, CDMX<br>URL:",,,,,-1,0,-1,,,Av. del Rosario,Azcapotzalco,CAIS Azcapotzalco,,"Col. San Martín Xochinahuac, Del. Azcapotzalco, CDMX",
-99.116821,19.401274,Albergue,"Dirección: Cólica 16<br>Ciudad, Estado: CDMX<br>Nombre: Centro Social<br>Teléfono: +52 55 5649 3660<br>Información Adicional: Cólica 16, Fraccionamiento Coyuya, Ciudad de México, CDMX<br>URL:",,,,,-1,0,-1,,,Cólica 16,CDMX,Centro Social,+52 55 5649 3660,"Cólica 16, Fraccionamiento Coyuya, Ciudad de México, CDMX",
-99.1721589,19.4053202,Albergue,"Dirección: Sindicalismo 3<br>Ciudad, Estado: CDMX<br>Nombre: Junior Club<br>Teléfono: +52 55 5277 7666<br>Información Adicional: Sindicalismo 3, Col. Hipódromo Condesa, 06170 Ciudad de México<br>URL: www.juniorclub.com.mx",,,,,-1,0,-1,,,Sindicalismo 3,CDMX,Junior Club,+52 55 5277 7666,"Sindicalismo 3, Col. Hipódromo Condesa, 06170 Ciudad de México",www.juniorclub.com.mx
-99.1284223,19.4406296,Albergue,"Dirección: Peña S/N<br>Ciudad, Estado: CDMX<br>Nombre: Plaza del Estudiante<br>Teléfono: <br>Información Adicional: Peña S/N, Cuauhtemoc, centro historico-alameda, Centro, 06020 Ciudad de México<br>URL: www.mexicocity.gob.mx",,,,,-1,0,-1,,,Peña S/N,CDMX,Plaza del Estudiante,,"Peña S/N, Cuauhtemoc, centro historico-alameda, Centro, 06020 Ciudad de México",www.mexicocity.gob.mx
-99.1480861,19.4397608,Albergue,"Dirección: Calle Mina 134<br>Ciudad, Estado: CDMX<br>Nombre: Oficinas Administrativas del deportivo Mina<br>Teléfono: +52 55 4335 8203<br>Información Adicional: Calle Mina 134, Centro Histórico, Guerrero, 06300 Cuauhtémoc<br>URL:",,,,,-1,0,-1,,,Calle Mina 134,CDMX,Oficinas Administrativas del deportivo Mina,+52 55 4335 8203,"Calle Mina 134, Centro Histórico, Guerrero, 06300 Cuauhtémoc",
-99.1514075,19.4424244,Albergue,"Dirección: Luis D.Colosio<br>Ciudad, Estado: CDMX<br>Nombre: Deportivo Cuauhtemoc<br>Teléfono: +52 55 2452 3326<br>Información Adicional: Luis Donaldo Colosio esq. Aldama, Buenavista, 06350 Ciudad de México<br>URL:",,,,,-1,0,-1,,,Luis D.Colosio,CDMX,Deportivo Cuauhtemoc,+52 55 2452 3326,"Luis Donaldo Colosio esq. Aldama, Buenavista, 06350 Ciudad de México",
-99.1317148,19.3990368,Albergue SEDESO,"Dirección: Sur 65-A #3246<br>Ciudad, Estado: Iztacalco, CDMX<br>Nombre: Cais Coruña Jóvenes<br>Teléfono: 5555196650<br>Información Adicional: Col. Viaducto Piedad, entre Coruña y Santa Anita, CDMX<br>URL:",,,,,-1,0,-1,,,Sur 65-A #3246,"Iztacalco, CDMX",Cais Coruña Jóvenes,5555196650,"Col. Viaducto Piedad, entre Coruña y Santa Anita, CDMX",
-99.159583,19.4553387,Albergue,"Dirección: Fresno 301<br>Ciudad, Estado: CDMX<br>Nombre: Martires de Tlatelolco Popular high A.C.<br>Teléfono: +52 55 5547 1168<br>Información Adicional: Calle Fresno 301, Cuauhtémoc, Atlampa, 06450 Ciudad de México<br>URL: prepafresno.com",,,,,-1,0,-1,,,Fresno 301,CDMX,Martires de Tlatelolco Popular high A.C.,+52 55 5547 1168,"Calle Fresno 301, Cuauhtémoc, Atlampa, 06450 Ciudad de México",prepafresno.com
-99.1100992,19.4832959,Albergue,"Dirección: Eje 5 Nte.<br>Ciudad, Estado: CDMX<br>Nombre: Casa Del Peregrino San Juan Diego<br>Teléfono: <br>Información Adicional: Eje 5 Nte Calz San Juan de ARAGON 63, Villa Gustavo A. Madero, 07050 Ciudad de México<br>URL:",,,,,-1,0,-1,,,Eje 5 Nte.,CDMX,Casa Del Peregrino San Juan Diego,,"Eje 5 Nte Calz San Juan de ARAGON 63, Villa Gustavo A. Madero, 07050 Ciudad de México",
-99.1548752,19.5070796,Albergue SEDESO,"Dirección: Maza de Juárez<br>Ciudad, Estado: CDMX<br>Nombre: Centro de Asistencia e Integración Social Villa Mujeres<br>Teléfono: 5553921837<br>Información Adicional: Av. Maza de Juález 150 Bis, Col. Patera Vallejo, CDMX<br>URL:",,,,,-1,0,-1,,,Maza de Juárez,CDMX,Centro de Asistencia e Integración Social Villa Mujeres,5553921837,"Av. Maza de Juález 150 Bis, Col. Patera Vallejo, CDMX",
-99.1843859,19.4840941,Albergue,"Dirección: Castilla Oriente<br>Ciudad, Estado: CDMX<br>Nombre: Delegación Azcapotzalco<br>Teléfono: +52 55 5353 8503<br>Información Adicional: Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México<br>URL: delegacionazcapotzalco.com.mx",,,,,-1,0,-1,,,Castilla Oriente,CDMX,Delegación Azcapotzalco,+52 55 5353 8503,"Castilla Oriente s/n, Azcapotzalco, Centro, Centro de Azcapotzalco, 02008 Ciudad de México",delegacionazcapotzalco.com.mx
-99.1542455,19.4408745,Albergue SEDESO,"Dirección: Bernal Díaz<br>Ciudad, Estado: Cuauhtémoc<br>Nombre: Hogar CDMX<br>Teléfono: <br>Información Adicional: Díaz del Castillo #34, Col. Buenavista, Del. Cuauhtémoc<br>URL:",,,,,-1,0,-1,,,Bernal Díaz,Cuauhtémoc,Hogar CDMX,,"Díaz del Castillo #34, Col. Buenavista, Del. Cuauhtémoc",
-99.0921998,19.407729,Albergue Delegacional,"Dirección: CiudadDeportiva<br>Ciudad, Estado: Iztacalco, CDMX<br>Nombre: Sala Armas Magdalena Mixhuca<br>Teléfono: +52 55 2046 4621<br>Información Adicional: Ciudad Deportiva de la Magdalena Mixhuca, puerta 6<br>URL: cdmm.mx",,,,,-1,0,-1,,,CiudadDeportiva,"Iztacalco, CDMX",Sala Armas Magdalena Mixhuca,+52 55 2046 4621,"Ciudad Deportiva de la Magdalena Mixhuca, puerta 6",cdmm.mx
-99.1682229,19.2794671,Albergue Delegacional,"Dirección: Insurgentes Sur<br>Ciudad, Estado: Tlalpan, CDMX<br>Nombre: Deportivo La Joya<br>Teléfono: <br>Información Adicional: Av. Insurgentes Sur 4342-S, Del. Tlalpan, CDMX<br>URL:",,,,,-1,0,-1,,,Insurgentes Sur,"Tlalpan, CDMX",Deportivo La Joya,,"Av. Insurgentes Sur 4342-S, Del. Tlalpan, CDMX",
-99.1858822,19.3005292,Albergue Delegacional,"Dirección: Insurgentes Sur<br>Ciudad, Estado: Tlalpan, CDMX<br>Nombre: Deportivo Villa Olímpica<br>Teléfono: 5556069255<br>Información Adicional: Av. Insurgentes Sur, Parque del Pedregal, Tlalpan, CDMX<br>URL: www.tlalpan.gob.mx",,,,,-1,0,-1,,,Insurgentes Sur,"Tlalpan, CDMX",Deportivo Villa Olímpica,5556069255,"Av. Insurgentes Sur, Parque del Pedregal, Tlalpan, CDMX",www.tlalpan.gob.mx
-99.1586286,19.3715078,Albergue Delegacional,"Dirección: Calle Uxmal<br>Ciudad, Estado: Benito Juárez<br>Nombre: Centro Deportivo ""Benito Juárez""<br>Teléfono: +52 55 6632 4700<br>Información Adicional: Calle Uxmal 807B, Sta Cruz Atoyac, CDMX<br>URL:",,,,,-1,0,-1,,,Calle Uxmal,Benito Juárez,"Centro Deportivo ""Benito Juárez""",+52 55 6632 4700,"Calle Uxmal 807B, Sta Cruz Atoyac, CDMX",
-99.1902311,19.4047827,Albergue Delegacional,"Dirección: Av. Parque Lira<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: Parque Lira<br>Teléfono: 5555165030<br>Información Adicional: Parque Lira 136, San Miguel Chapultepec I Secc, CDMX<br>URL:",,,,,-1,0,-1,,,Av. Parque Lira,Miguel Hidalgo,Parque Lira,5555165030,"Parque Lira 136, San Miguel Chapultepec I Secc, CDMX",
-99.1689678,19.443235,Albergue,"Dirección: Tonántzin 33<br>Ciudad, Estado: Miguel Hidalgo<br>Nombre: CENTRO SOCIAL Y CULTURAL GRUPO MODELO<br>Teléfono: +52 55 5276 6300<br>Información Adicional: Calle Tonantzin 33, Tlaxpana, 11320 Ciudad de México<br>URL:",,,,,-1,0,-1,,,Tonántzin 33,Miguel Hidalgo,CENTRO SOCIAL Y CULTURAL GRUPO MODELO,+52 55 5276 6300,"Calle Tonantzin 33, Tlaxpana, 11320 Ciudad de México",
-99.1544867,19.5062908,Albergue,"Dirección: Margarita Maza de Juárez 150<br>Ciudad, Estado: CDMX<br>Nombre: Villa Deportiva Margarita Maza De Juarez<br>Teléfono: <br>Información Adicional: <br>URL:",,,,,-1,0,-1,,,Margarita Maza de Juárez 150,CDMX,Villa Deportiva Margarita Maza De Juarez,,,
-99.102744,19.2904884,Albergue,"Dirección: Periférico Sur s/n<br>Ciudad, Estado: Xochimilco<br>Nombre: Pista Olimpica de Remo y Canotaje Virgilio Uribe<br>Teléfono: <br>Información Adicional: Xochimilco, Acuemanco, Pista Olímpica Virgilio Uribe, 16000 Ciudad de México<br>URL:",,,,,-1,0,-1,,,Periférico Sur s/n,Xochimilco,Pista Olimpica de Remo y Canotaje Virgilio Uribe,,"Xochimilco, Acuemanco, Pista Olímpica Virgilio Uribe, 16000 Ciudad de México",
-99.21641,18.94091,Albergue Morelos,"Dirección: Sn Diego 501 VH<br>Ciudad, Estado: Cuernavaca Mor<br>Nombre: Fund. Comunitaria Morelense<br>Teléfono: <br>Información Adicional: Av. San Diego 501, Col. Vista Hermosa Cuernavaca<br>URL:",,,,,-1,0,-1,,,Sn Diego 501 VH,Cuernavaca Mor,Fund. Comunitaria Morelense,,"Av. San Diego 501, Col. Vista Hermosa Cuernavaca",
-99.1921449,18.655145,Albergue Morelos,"Dirección: Calle Morelos<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Estadio Agustin Coruco Diaz<br>Teléfono: 7772702314<br>Información Adicional: Calle Morelos esquina Escuadrón 201<br>URL:",,,,,-1,0,-1,,,Calle Morelos,Zacatepec Mor,Estadio Agustin Coruco Diaz,7772702314,Calle Morelos esquina Escuadrón 201,
-98.950925,18.8207047,Albergue Morelos,"Dirección: Sufragio Efect<br>Ciudad, Estado: Cuautla Mor<br>Nombre: Iglesia<br>Teléfono: +52 735 398 0773<br>Información Adicional: Sufragio Efectivo Col. Emiliano Zapata<br>URL:",,,,,-1,0,-1,,,Sufragio Efect,Cuautla Mor,Iglesia,+52 735 398 0773,Sufragio Efectivo Col. Emiliano Zapata,
-99.19336,18.65312,Albergue Morelos,"Dirección: Galeana Cuautla<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Jardín de Niños N. Mendoza<br>Teléfono: <br>Información Adicional: Carretera Galeana - Cuautla esquina Xicoténcatl<br>URL: https://twitter.com/GobiernoMorelos/status/910494459430805506",,,,,-1,0,-1,,,Galeana Cuautla,Zacatepec Mor,Jardín de Niños N. Mendoza,,Carretera Galeana - Cuautla esquina Xicoténcatl,https://twitter.com/GobiernoMorelos/status/910494459430805506
-98.75166,18.4988567,Albergue Morelos,"Dirección: Independencia<br>Ciudad, Estado: Axochiapan Mor<br>Nombre: Salon Rodriguez<br>Teléfono: <br>Información Adicional: Av. Indepencencia casi esq. Libertad. Frente a Gasoline<br>URL:",,,,,-1,0,-1,,,Independencia,Axochiapan Mor,Salon Rodriguez,,Av. Indepencencia casi esq. Libertad. Frente a Gasoline,
-99.20293,18.66482,Albergue Morelos,"Dirección: Vic Guerrero<br>Ciudad, Estado: Zacatepec Mor<br>Nombre: Ayudantia de Tetelpa<br>Teléfono: <br>Información Adicional: Calle Vicente Guerrero<br>URL:",,,,,-1,0,-1,,,Vic Guerrero,Zacatepec Mor,Ayudantia de Tetelpa,,Calle Vicente Guerrero,
-99.1750819,18.6142049,Albergue Morelos,"Dirección: 10 de Abril<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Jardín de NIños Fermina Rivera Vda de Rivera<br>Teléfono: <br>Información Adicional: 10 de Abril esquina Francisco I. Madero<br>URL:",,,,,-1,0,-1,,,10 de Abril,Jojutla Mor,Jardín de NIños Fermina Rivera Vda de Rivera,,10 de Abril esquina Francisco I. Madero,
-99.1831866,18.6237498,Albergue Morelos,"Dirección: Benito Juárez<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Unidad Deportiva Perseverancia<br>Teléfono: <br>Información Adicional: Benito Juárez esq. Lázaro Cárdenas<br>URL:",,,,,-1,0,-1,,,Benito Juárez,Jojutla Mor,Unidad Deportiva Perseverancia,,Benito Juárez esq. Lázaro Cárdenas,
-99.3985676,18.7290321,Albergue Morelos,"Dirección: Aldama<br>Ciudad, Estado: Tetecala Mor<br>Nombre: Presidencia municipal de tetecala<br>Teléfono: +52 751 396 0352<br>Información Adicional: Aldama esquina Matamoros<br>URL:",,,,,-1,0,-1,,,Aldama,Tetecala Mor,Presidencia municipal de tetecala,+52 751 396 0352,Aldama esquina Matamoros,
-99.207136,18.6292019,Albergue Morelos,"Dirección: Alpuyeca Jojutl<br>Ciudad, Estado: Galeana Morelos<br>Nombre: Hotel Montecarlo<br>Teléfono: 7343430648<br>Información Adicional: Carretera Alpuyeca - Jojutla km. 13.5<br>URL: https://www.facebook.com/MonteCarloHotel/",,,,,-1,0,-1,,,Alpuyeca Jojutl,Galeana Morelos,Hotel Montecarlo,7343430648,Carretera Alpuyeca - Jojutla km. 13.5,https://www.facebook.com/MonteCarloHotel/
-99.1731206,18.6177021,Albergue Morelos,"Dirección: Av Tec Industri<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Unidad Deportiva Niños Héroes<br>Teléfono: <br>Información Adicional: Av Instituto Técnico Industrial y Comercial, 62900<br>URL:",,,,,-1,0,-1,,,Av Tec Industri,Jojutla Mor,Unidad Deportiva Niños Héroes,,"Av Instituto Técnico Industrial y Comercial, 62900",
-99.081424,18.86947,Albergue Morelos,"Dirección: Cuer. - Cuautla<br>Ciudad, Estado: Yautepec Mor<br>Nombre: Unidad Deportiva Atlihuayán<br>Teléfono: <br>Información Adicional: MEX-138 Cuernavaca - Cuautla casi esq Revolución, 62730<br>URL:",,,,,-1,0,-1,,,Cuer. - Cuautla,Yautepec Mor,Unidad Deportiva Atlihuayán,,"MEX-138 Cuernavaca - Cuautla casi esq Revolución, 62730",
-98.98307,18.957,Albergue Morelos,"Dirección: Justo Sierra<br>Ciudad, Estado: Tlayacapan Mor<br>Nombre: Plaza Cívica<br>Teléfono: <br>Información Adicional: Justo Sierra, 62540<br>URL:",,,,,-1,0,-1,,,Justo Sierra,Tlayacapan Mor,Plaza Cívica,,"Justo Sierra, 62540",
-99.1404607,18.8897582,Albergue Morelos,"Dirección: UPEMOR<br>Ciudad, Estado: Jiutepec Mor<br>Nombre: Universidad Politecnica del Estado de Morelos<br>Teléfono: +52 777 229 3500<br>Información Adicional: Blvd. Paseo Cuauhnáhuac 566, 62550<br>URL: www.upemor.edu.mx",,,,,-1,0,-1,,,UPEMOR,Jiutepec Mor,Universidad Politecnica del Estado de Morelos,+52 777 229 3500,"Blvd. Paseo Cuauhnáhuac 566, 62550",www.upemor.edu.mx
-99.177445,18.8757658,Albergue Morelos,"Dirección: 20 de Noviembre<br>Ciudad, Estado: Jiutepec Mor<br>Nombre: William Shakespeare College<br>Teléfono: +52 777 245 0856<br>Información Adicional: Poeta Isaías Alanis 39, Centro, 62550<br>URL:",,,,,-1,0,-1,,,20 de Noviembre,Jiutepec Mor,William Shakespeare College,+52 777 245 0856,"Poeta Isaías Alanis 39, Centro, 62550",
