"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.1332049, 19.4326018",-99.1332049,19.4326018,"Zócalo",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"José María Pino Suárez 29, Centro Histórico, Centro, 06000 Ciudad de México, CDMX, Mexico","José María Pino Suárez","29","Centro","06000","Ciudad de México","Ciudad de México","Mexico",19.4326018,-99.1332049
"-99.136572, 19.469467",-99.136572,19.469467,"Metro La Raza - STC Metro",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Paganini 128, Vallejo, 07870 Ciudad de México, CDMX, Mexico","Paganini","128","Vallejo","07870","Ciudad de México","Ciudad de México","Mexico",19.469467,-99.136572
"-99.1400208, 19.4224269",-99.1400208,19.4224269,"SEDESO",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Bolivar 168-188, Centro, 06080 Ciudad de México, CDMX, Mexico","Calle Bolivar","168-188","Centro","06080","Ciudad de México","Ciudad de México","Mexico",19.4224269,-99.1400208
"-99.1499681, 19.3514956",-99.1499681,19.3514956,"Locatel",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Heroes del 47 113, San Diego Churubusco, 04120 Ciudad de México, CDMX, Mexico","Heroes del 47","113","San Diego Churubusco","04120","Ciudad de México","Ciudad de México","Mexico",19.3514956,-99.1499681
"-99.153893, 19.4296448",-99.153893,19.4296448,"Abraham González 67",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Abraham González 67, Juárez, 06600 Ciudad de México, CDMX, Mexico","Abraham González","67","Juárez","06600","Ciudad de México","Ciudad de México","Mexico",19.4296448,-99.153893
"-99.1546109, 19.430264",-99.1546109,19.430264,"Sistema M1",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Calle Versalles 46, Juárez, 06600 Juárez, CDMX, Mexico","Calle Versalles","46","Juárez","06600","Juárez","Ciudad de México","Mexico",19.430264,-99.1546109
"-99.158179, 19.365916",-99.158179,19.365916,"DIF Nacional",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Prol Tajín, Emperadores, 03310 Ciudad de México, CDMX, Mexico","Prolongación Tajín",NA,"Emperadores","03310","Ciudad de México","Ciudad de México","Mexico",19.365916,-99.158179
"-99.1644725, 19.4117922",-99.1644725,19.4117922,"Procuraduría Ambiental y del Ordenamiento Territorial",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Medellín 202, Roma Nte., 06700 Ciudad de México, CDMX, Mexico","Medellín","202","Roma Norte","06700","Ciudad de México","Ciudad de México","Mexico",19.4117922,-99.1644725
"-99.1671411, 19.2920558",-99.1671411,19.2920558,"Avenida San Fernando 160",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Avenida San Fernando 160, Tlalpan Centro I, 14050 Ciudad de México, CDMX, Mexico","Avenida San Fernando","160","Tlalpan Centro I","14050","Ciudad de México","Ciudad de México","Mexico",19.2920558,-99.1671411
"-99.1683694, 19.3556707",-99.1683694,19.3556707,"Almacén General del DIF",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Av México 190, Del Carmen, 04100 Ciudad de México, CDMX, Mexico","Avenida México","190","Del Carmen","04100","Ciudad de México","Ciudad de México","Mexico",19.3556707,-99.1683694
"-99.1716566, 19.4092044",-99.1716566,19.4092044,"Casa Refugio Citlaltepetl",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Citlaltépetl 25, Hipódromo, 06100 Ciudad de México, CDMX, Mexico","Citlaltépetl","25","Hipódromo","06100","Ciudad de México","Ciudad de México","Mexico",19.4092044,-99.1716566
"-99.175711, 19.4231933",-99.175711,19.4231933,"Bosque de Chapultepec, Puerta de los Leones",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Punto Chapultepec, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",NA,NA,"Cuauhtémoc","06500","Ciudad de México","Ciudad de México","Mexico",19.4231933,-99.175711
"-99.186169, 19.3074184",-99.186169,19.3074184,"Casa Hogar para Niñas Graciela Zubirán",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Av. Insurgentes Sur 3700, Insurgentes Cuicuilco, 04530 Ciudad de México, CDMX, Mexico","Avenida Insurgentes Sur","3700","Insurgentes Cuicuilco","04530","Ciudad de México","Ciudad de México","Mexico",19.3074184,-99.186169
"-99.1973349, 19.4246091",-99.1973349,19.4246091,"Campo Militar Marte",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"Blvd. Adolfo López Mateos 1339, Bosque de Chapultepec I Secc, 11100 Ciudad de México, CDMX, Mexico","Boulevard Adolfo López Mateos","1339","Bosque de Chapultepec I Sección","11100","Ciudad de México","Ciudad de México","Mexico",19.4246091,-99.1973349
