"coordenadas","Calle","Colonia","Delegacin","EspecialistasFaltantesseparaporcomas","Estado","Foto","HerramientasExistentes","HerramientasFaltantes","Hora","HoradelReporte","ManodeObraExistente","ManodeObraFaltante","MedicamentosExistentes","MedicamentosFaltantes","Municipio","NmeroExterioroAproximado","NmerodePersonasAtrapadas","NmerodePersonasDesaparecidas","NmerodePersonasFallecidas","NmerodePersonasLesionadas","NmerodePersonasRescatadas","OtraReferenciadeUbicacin","Timestamp","TipoDao","TipodeInfraestructura","TipodeUso","TipodelDao","Verificado","VveresExistentes","VveresFaltantes","VveresSobrantes","latitud","longitud","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-102.305110534653, 22.0231859617182","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 18:16:30","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Ayuda",22.0231859617182,-102.305110534653,"AGS 45 101a, Aguascalientes, Mexico","Aguascalientes 45","101a",NA,NA,NA,"Aguascalientes","Mexico",22.0231859617182,-102.305110534653
"-3.75901937484741, 42.022645739242","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 17:12:20","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Voluntariado",42.022645739242,-3.75901937484741,NA,NA,NA,NA,NA,NA,NA,NA,42.022645739242,-3.75901937484741
"-98.7753295898437, 17.9552193042878","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:16:50","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Manos para empacar o ayudar a cientos de acopio para organizar cosas ",17.9552193042878,-98.7753295898437,"Unnamed Road, Guerrero, Mexico","Unnamed Road",NA,NA,NA,NA,"Guerrero","Mexico",17.9552193042878,-98.7753295898437
"-98.9939015, 19.2170741","Av. Morelos esquina con 5 mayo ","centro","No Aplica (fuera de CDMX)","Ingenieros, arquitectos","Morelos","","","Herramientas, picos, lonas, cubetas, ",NA,NA,"","50 personas. ","","Si tienes info entra a: http://bit.ly/Verificado19s","Miacatlan, Cuatetelco",0,"0","0","0","0","0","a un lado del sitio de taxis ","9/22/2017 17:38:20","Derrumbe","Casa","Habitacional","Derrumbe","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.2170741,-98.9939015,"Av Morelos 6, Cruztitla, 12100 San Antonio Tecómitl, CDMX, Mexico","Avenida Morelos","6","Cruztitla","12100","San Antonio Tecómitl","Ciudad de México","Mexico",19.2170741,-98.9939015
"-98.9968485, 19.2974491","EMPERADORES","portales norte ","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","sin herramientas, luz, lamparas ",NA,NA,"","sin mano de obra ","todos","todos","",3300,"No sé","No sé","No sé","No sé","No sé","filiphinas y calle calle canarias ","9/20/2017 19:07:28","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","","sin viveres ","Si tienes info entra a: http://bit.ly/Verificado19s",19.2974491,-98.9968485,NA,NA,NA,NA,NA,NA,NA,NA,19.2974491,-98.9968485
"-98.9973039, 19.2974709","Emperadores","Portales Norte","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","No aplica","No aplica",NA,NA,"No aplica","No aplica","No aplica","No aplica","Benito Juarez",64,"0","0","0","0","0","Entre Alhambra y Antillas","9/21/2017 19:21:48","Daño","Edificio","Habitacional","Daño","No","No aplica","No aplica","Si tienes info entra a: http://bit.ly/Verificado19s",19.2974709,-98.9973039,"Emperadores 42, 3 de Mayo, 13429 Ciudad de México, CDMX, Mexico","Emperadores","42","3 de Mayo","13429","Ciudad de México","Ciudad de México","Mexico",19.2974709,-98.9973039
"-99.0026092529297, 19.5643192199444","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:48:03","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Apoyo a remover escombros, cargar víveres, auxilio general",19.5643192199444,-99.0026092529297,NA,NA,NA,NA,NA,NA,NA,NA,19.5643192199444,-99.0026092529297
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:58","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada","57710","Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:58","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada","57710","Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:57","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada","57710","Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
