"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","entidad","Delegaci__n","colonia","lugar","entrecalles","calle","numero_exterior","Necesidades","link_google_maps","lon","lat","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.1306164, 19.4406296",-99.1306164,19.4406296,NA,"entidad: CdMx<br>Delegación: Cuauhtemoc<br>colonia: Centro <br>lugar: Plaza del Estudiante<br>entrecalles: <br>calle: Peña S/N<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Plaza+del+Estudiante/@19.4406346,-99.1306164,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f936b03c52d1:0xb672a9a9d70e1646!8m2!3d19.4406296!4d-99.1284223?hl=es<br>lon: -99.1306164<br>lat: 19.4406296",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuauhtemoc","Centro","Plaza del Estudiante","","Peña S/N","",NA,"https://www.google.com.mx/maps/place/Plaza+del+Estudiante/@19.4406346,-99.1306164,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f936b03c52d1:0xb672a9a9d70e1646!8m2!3d19.4406296!4d-99.1284223?hl=es",-99.1306164,19.4406296,"República de Nicaragua 47, Centro, 06000 Centro, CDMX, Mexico","República de Nicaragua","47","Centro",6000,"Centro","Ciudad de México","Mexico",19.4406296,-99.1306164
"-99.219172, 18.941471",-99.219172,18.941471,NA,"entidad: Morelos<br>Delegación: Cuernavaca<br>colonia: Vista Hermosa <br>lugar: Fundacion Comunitaria Morelense<br>entrecalles: <br>calle: Av. San Diego <br>numero_exterior: 501<br>Necesidades: <br>link_google_maps: https://www.google.com/maps/place/Av.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9415824,-99.2213769,17z/data=!4m13!1m7!3m6!1s0x85cddfc43ef74801:0xc6f77d97789a9027!2sAv.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico!3b1!8m2!3d18.9415824!4d-99.2191882!3m4!1s0x85cddfc43ef74801:0xc6f77d97789a9027!8m2!3d18.9415824!4d-99.2191882<br>lon: -99.219172<br>lat: 18.941471",NA,NA,NA,NA,-1,0,-1,NA,NA,"Morelos","Cuernavaca","Vista Hermosa","Fundacion Comunitaria Morelense","","Av. San Diego","501",NA,"https://www.google.com/maps/place/Av.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9415824,-99.2213769,17z/data=!4m13!1m7!3m6!1s0x85cddfc43ef74801:0xc6f77d97789a9027!2sAv.+San+Diego+501,+zona+1,+Lomas+de+Vista+Hermosa,+62293+Cuernavaca,+Mor.,+M%C3%A9xico!3b1!8m2!3d18.9415824!4d-99.2191882!3m4!1s0x85cddfc43ef74801:0xc6f77d97789a9027!8m2!3d18.9415824!4d-99.2191882",-99.219172,18.941471,"Av. San Diego 112-316, zona 1, Lomas de Vista Hermosa, 62293 Cuernavaca, Mor., Mexico","Avenida San Diego","112-316","Lomas de Vista Hermosa",62293,"Cuernavaca","Morelos","Mexico",18.941471,-99.219172
"-99.22525, 18.910399",-99.22525,18.910399,NA,"entidad: <br>Delegación: <br>colonia: <br>lugar: <br>entrecalles: <br>calle: rufino tamayo 46<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com/maps/place/Rufino+Tamayo+46,+Acapantzingo,+62440+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9102849,-99.2254785,20z/data=!4m5!3m4!1s0x85cddf0787d3e5f9:0x5867d663b9ec9133!8m2!3d18.9104004!4d-99.2252418<br>lon: -99.22525<br>lat: 18.910399",NA,NA,NA,NA,-1,0,-1,NA,NA,"","","","","","rufino tamayo 46","",NA,"https://www.google.com/maps/place/Rufino+Tamayo+46,+Acapantzingo,+62440+Cuernavaca,+Mor.,+M%C3%A9xico/@18.9102849,-99.2254785,20z/data=!4m5!3m4!1s0x85cddf0787d3e5f9:0x5867d663b9ec9133!8m2!3d18.9104004!4d-99.2252418",-99.22525,18.910399,"Rufino Tamayo 46, Acapantzingo, 62440 Cuernavaca, Mor., Mexico","Rufino Tamayo","46","Acapantzingo",62440,"Cuernavaca","Morelos","Mexico",18.910399,-99.22525
"-99.199703, 19.387702",-99.199703,19.387702,NA,"entidad: CdMx<br>Delegación: Álvaro Obregón<br>colonia: Col. Victoria<br>lugar: Deportivo<br>entrecalles: <br>calle: Av. Escuadrón 201<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es<br>lon: -99.199703<br>lat: 19.387702",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Álvaro Obregón","Col. Victoria","Deportivo","","Av. Escuadrón 201","",NA,"https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es",-99.199703,19.387702,"Escuadrón 201 7-9, Sede Delegacional, 01150 Ciudad de México, CDMX, Mexico","Escuadrón 201","7-9","Sede Delegacional",1150,"Álvaro Obregón","Ciudad de México","Mexico",19.387702,-99.199703
"-99.199703, 19.387702",-99.199703,19.387702,NA,"entidad: CdMx<br>Delegación: Álvaro Obregón<br>colonia: Col. Victoria<br>lugar: Deportivo<br>entrecalles: <br>calle: Av. Escuadrón 201<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es<br>lon: -99.199703<br>lat: 19.387702",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Álvaro Obregón","Col. Victoria","Deportivo","","Av. Escuadrón 201","",NA,"https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es",-99.199703,19.387702,"Escuadrón 201 7-9, Sede Delegacional, 01150 Ciudad de México, CDMX, Mexico","Escuadrón 201","7-9","Sede Delegacional",1150,"Álvaro Obregón","Ciudad de México","Mexico",19.387702,-99.199703
"-99.1845903, 19.4838002",-99.1845903,19.4838002,NA,"entidad: CdMx<br>Delegación: Azcapotzalco<br>colonia: Azcapotzalco, Centro<br>lugar: Delegación<br>entrecalles: <br>calle: Castilla Oriente<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Delegaci%C3%B3n+Azcapotzalco/@19.4838002,-99.1845903,14z/data=!4m8!1m2!2m1!1sdelegaci%C3%B3n+azcapotzalco+edificio+gobierno!3m4!1s0x85d1f87eab3ae1dd:0xfef6890ee17c884e!8m2!3d19.4840941!4d-99.1843859<br>lon: -99.1845903<br>lat: 19.4838002",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Azcapotzalco","Azcapotzalco, Centro","Delegación","","Castilla Oriente","",NA,"https://www.google.com.mx/maps/place/Delegaci%C3%B3n+Azcapotzalco/@19.4838002,-99.1845903,14z/data=!4m8!1m2!2m1!1sdelegaci%C3%B3n+azcapotzalco+edificio+gobierno!3m4!1s0x85d1f87eab3ae1dd:0xfef6890ee17c884e!8m2!3d19.4840941!4d-99.1843859",-99.1845903,19.4838002,"Estatua Fernando Montes de Oca, Jerusalén, Centro de Azcapotzalco, 02000 Ciudad de México, CDMX, Mexico","Jerusalén",NA,"Centro de Azcapotzalco",2000,"Azcapotzalco","Ciudad de México","Mexico",19.4838002,-99.1845903
"-99.158393, 19.371305",-99.158393,19.371305,NA,"entidad: CdMx<br>Delegación: Benito Juárez<br>colonia: Sta Cruz Atoyac<br>lugar: Deportivo Benito Juárez.<br>entrecalles: <br>calle: Calle Uxmal 807B,, 03310 Ciudad de México, CDMX <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Deportivo+%22Benito+Ju%C3%A1rez%22/@19.4280232,-99.2166922,12z/data=!4m8!1m2!2m1!1sDeportivo+Benito+Ju%C3%A1rez!3m4!1s0x85d1ffbadd52cc67:0x6f26499876157670!8m2!3d19.3715078!4d-99.1586286?hl=es<br>lon: -99.158393<br>lat: 19.371305",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Benito Juárez","Sta Cruz Atoyac","Deportivo Benito Juárez.","","Calle Uxmal 807B,, 03310 Ciudad de México, CDMX","",NA,"https://www.google.com.mx/maps/place/Centro+Deportivo+%22Benito+Ju%C3%A1rez%22/@19.4280232,-99.2166922,12z/data=!4m8!1m2!2m1!1sDeportivo+Benito+Ju%C3%A1rez!3m4!1s0x85d1ffbadd52cc67:0x6f26499876157670!8m2!3d19.3715078!4d-99.1586286?hl=es",-99.158393,19.371305,"Calle Uxmal 210-228, Sta Cruz Atoyac, 03310 Ciudad de México, CDMX, Mexico","Calle Uxmal","210-228","Santa Cruz Atoyac",3310,"Benito Juárez","Ciudad de México","Mexico",19.371305,-99.158393
"-99.289306, 19.362448",-99.289306,19.362448,NA,"entidad: CdMx<br>Delegación: Cuaujimalpa<br>colonia: Rosa Torres<br>lugar: Deportivo<br>entrecalles: esquina san José de los Cedros <br>calle: Calle José María Castorena <br>numero_exterior: 545<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/DEPORTIVO+MORELOS/@19.3639314,-99.2877607,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2073106bb90e7:0x8be1a9922614125f!8m2!3d19.3639264!4d-99.2855667?hl=es<br>lon: -99.289306<br>lat: 19.362448",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuaujimalpa","Rosa Torres","Deportivo","esquina san José de los Cedros","Calle José María Castorena","545",NA,"https://www.google.com.mx/maps/place/DEPORTIVO+MORELOS/@19.3639314,-99.2877607,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2073106bb90e7:0x8be1a9922614125f!8m2!3d19.3639264!4d-99.2855667?hl=es",-99.289306,19.362448,"Calle José María Castorena 460, Cuajimalpa de Morelos, 05200 Ciudad de México, CDMX, Mexico","Calle José María Castorena","460","Cuajimalpa de Morelos",5200,"Cuajimalpa de Morelos","Ciudad de México","Mexico",19.362448,-99.289306
"-99.1736609, 19.4048648",-99.1736609,19.4048648,NA,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Col. Hipódromo Condesa<br>lugar: Club Junior<br>entrecalles: <br>calle: Sindicalismo<br>numero_exterior: 3<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Junior+Club/@19.4048648,-99.1736609,17z/data=!4m12!1m6!3m5!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!2sJunior+Club!8m2!3d19.4053202!4d-99.1721589!3m4!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!8m2!3d19.4053202!4d-99.1721589<br>lon: -99.1736609<br>lat: 19.4048648",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuauhtémoc","Col. Hipódromo Condesa","Club Junior","","Sindicalismo","3",NA,"https://www.google.com.mx/maps/place/Junior+Club/@19.4048648,-99.1736609,17z/data=!4m12!1m6!3m5!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!2sJunior+Club!8m2!3d19.4053202!4d-99.1721589!3m4!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!8m2!3d19.4053202!4d-99.1721589",-99.1736609,19.4048648,"Cda. Altata 15, Hipódromo, 06100 Ciudad de México, CDMX, Mexico","Cerrada Altata","15","Hipódromo",6100,"Cuauhtémoc","Ciudad de México","Mexico",19.4048648,-99.1736609
"-99.1502748, 19.4397608",-99.1502748,19.4397608,NA,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Guerrero<br>lugar: Deportivo Mina<br>entrecalles: <br>calle: Calle Mina <br>numero_exterior: 134<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Oficinas+Administrativas+del+deportivo+Mina/@19.4397608,-99.1502748,17z/data=!4m12!1m6!3m5!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!2sOficinas+Administrativas+del+deportivo+Mina!8m2!3d19.4397608!4d-99.1480861!3m4!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!8m2!3d19.4397608!4d-99.1480861<br>lon: -99.1502748<br>lat: 19.4397608",NA,NA,NA,NA,-1,0,-1,NA,NA,"CdMx","Cuauhtémoc","Guerrero","Deportivo Mina","","Calle Mina","134",NA,"https://www.google.com.mx/maps/place/Oficinas+Administrativas+del+deportivo+Mina/@19.4397608,-99.1502748,17z/data=!4m12!1m6!3m5!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!2sOficinas+Administrativas+del+deportivo+Mina!8m2!3d19.4397608!4d-99.1480861!3m4!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!8m2!3d19.4397608!4d-99.1480861",-99.1502748,19.4397608,"Calle Zaragoza 40, Buenavista, 06350 Ciudad de México, CDMX, Mexico","Calle Zaragoza","40","Buenavista",6350,"Cuauhtémoc","Ciudad de México","Mexico",19.4397608,-99.1502748
