"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","gx_media_links","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-91.9809401, 17.509627",-91.9809401,17.509627,"Presidencia Municipal de Palenque","Centro de acopio de víveres.",NA,NA,NA,NA,-1,0,-1,NA,NA,"","Primera Avenida Nte. Ote., Centro, 29960 Palenque, Chis., Mexico","Primera Avenida Norte Oriente",NA,"Centro",29960,"Palenque","Chiapas","Mexico",17.509627,-91.9809401
"-92.615516, 16.7059088",-92.615516,16.7059088,"Centro de acopio Colegio de la Frontera Sur Unidad San Cristóbal","Destino: Oaxaca. Encargados: Pilar Núñez, Juan Carlos Velasco, Ángela Nájera, Audeluvia Mijangos, Yesenia Yadira Pérez, Elena Flores, Fernando Rodríguez, Jessica Paola Cruz y Carla Zamora. Contacto: Tel: 67 49 000 ext. 1780 Horario: 9:30 a 16:00 pm. Dirección del cartel: https://www.facebook.com/photo.php?fbid=10155491744761708&set=a.10150245569086708.339268.797346707&type=3&theater",NA,NA,NA,NA,-1,0,-1,NA,NA,"","San Cristóbal de las Casas - Comitán de Domínguez, María Auxiliadora, 29290 San Cristóbal de las Casas, Chis., Mexico","San Cristóbal de las Casas - Comitán de Domínguez",NA,"María Auxiliadora",29290,"San Cristóbal de las Casas","Chiapas","Mexico",16.7059088,-92.615516
"-92.6257588, 16.7366937",-92.6257588,16.7366937,"Centro de acopio. Desarrollo Económico y Social de los Mexicanos Indígenas","Encargados: DESMI A. C.  Destino: Comunidades de Oaxaca y Chiapas. Se solicita maíz y frijol. Enlace: https://www.facebook.com/profile.php?id=100019898355350 . Contacto: 01 967 6781248 . Horario: 	9 am a 5 pm",NA,NA,NA,NA,-1,0,-1,NA,NA,"","Guadalupe LB, Barrio de Guadalupe, 29230 San Cristóbal de las Casas, Chis., Mexico","Guadalupe","LB","Barrio de Guadalupe",29230,"San Cristóbal de las Casas","Chiapas","Mexico",16.7366937,-92.6257588
"-92.630944, 16.7384506",-92.630944,16.7384506,"Centro de Acopio para Región Costa","Encargado: Nemi Zapata. Destinado para: Región Costa.  Horario: De 9 a 14 hrs y de 16 a 18 hrs. ",NA,NA,NA,NA,-1,0,-1,NA,NA,"","Profa. María Adelina Flores 57, Barrio de Guadalupe, 29230 San Cristóbal de las Casas, Chis., Mexico","Profa. María Adelina Flores","57","Barrio de Guadalupe",29230,"San Cristóbal de las Casas","Chiapas","Mexico",16.7384506,-92.630944
"-93.012228, 16.7059992",-93.012228,16.7059992,"Ayuda para Chiapa de Corzo","<img src=""https://lh5.googleusercontent.com/MCwEHrJms7hWcxViYo4GjvebPGnzOnwKoB4LWOyukS-hYeTiYYv6SjuJ6d2MxH_T3xnDLmYBQzgYncd--MTRnhY6m7ZebB5WCfKo0_oePzJrmZ6cFMbjTY6jBXSViJxe"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh5.googleusercontent.com/G242s34qui70quAvi5YKpZAJqcR-H47_aZqidPX2ZmcF58mwTLNst36LbbkgXDdymf4lbqHYlfClfct5KIUBJfwlTFhodaFVEv3UN9RRTnb0EURaBI64rzYLjPiK4Cg3"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/vkj-X3pn1ICt_qXvEZYNDfJSTajTOcBa9iC04VKS6wPTui6gV6OQ6Ogx23WJVfp8F1nQUWy2q5BG8o658KvcKWVez7F8QLPntfJlbVo6B6r2tb_jXmsfREqg9UrX_XK2"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/83k0q1ymmZsM7P_FBxs8_pg8cHvcYuPdgYKaJXbn5Yl-fFlFvCLSeuNKQdP0fEc8o_xmc6T49kEedm6T2OtLlOCwJiSx0eL1ns2uBHlaIOK8x2w4QhlDB2DpjeSFNdU"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,"https://lh5.googleusercontent.com/MCwEHrJms7hWcxViYo4GjvebPGnzOnwKoB4LWOyukS-hYeTiYYv6SjuJ6d2MxH_T3xnDLmYBQzgYncd--MTRnhY6m7ZebB5WCfKo0_oePzJrmZ6cFMbjTY6jBXSViJxe https://lh5.googleusercontent.com/G242s34qui70quAvi5YKpZAJqcR-H47_aZqidPX2ZmcF58mwTLNst36LbbkgXDdymf4lbqHYlfClfct5KIUBJfwlTFhodaFVEv3UN9RRTnb0EURaBI64rzYLjPiK4Cg3 https://lh6.googleusercontent.com/vkj-X3pn1ICt_qXvEZYNDfJSTajTOcBa9iC04VKS6wPTui6gV6OQ6Ogx23WJVfp8F1nQUWy2q5BG8o658KvcKWVez7F8QLPntfJlbVo6B6r2tb_jXmsfREqg9UrX_XK2 https://lh5.googleusercontent.com/83k0q1ymmZsM7P_FBxs8_pg8cHvcYuPdgYKaJXbn5Yl-fFlFvCLSeuNKQdP0fEc8o_xmc6T49kEedm6T2OtLlOCwJiSx0eL1ns2uBHlaIOK8x2w4QhlDB2DpjeSFNdU","Av 21 de Octubre de 1863 56, Santo Tomás, 29160 Chiapa de Corzo, Chis., Mexico","Avenida 21 de Octubre de 1863","56","Santo Tomás",29160,"Chiapa de Corzo","Chiapas","Mexico",16.7059992,-93.012228
"-93.1007677, 16.7391724",-93.1007677,16.7391724,"Centro de acopio INAM Servicios Integrales Sustentables A.C.","Destinado para: Tonalá. Contacto: 961 107 57 21 . Horario: de 10 a 6.  https://www.facebook.com/INAMsisAc/?ref=br_rs",NA,NA,NA,NA,-1,0,-1,NA,NA,"","Calle Ing. Ubilio García Caballero 1360, Caminera, 29090 Tuxtla Gutiérrez, Chis., Mexico","Calle Ingeniero Ubilio García Caballero","1360","Caminera",29090,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7391724,-93.1007677
"-93.1072855, 16.7758837",-93.1072855,16.7758837,"Centro de acopio Normal Superior","<img src=""https://lh3.googleusercontent.com/SmKm6cJILe7gLaSXSc3bN5o97siQcp4IUgt0OjvSoR82XmkI8NR6PuIIi92pZi10fg_9LI5aU2-rLqcts9vnDyjSMhU6hYBtkeLqTK1cML8PHVLQGZXP_GJcXkBp03fdGw"" height=""200"" width=""auto"" /><br><br>",NA,NA,NA,NA,-1,0,-1,NA,NA,"https://lh3.googleusercontent.com/SmKm6cJILe7gLaSXSc3bN5o97siQcp4IUgt0OjvSoR82XmkI8NR6PuIIi92pZi10fg_9LI5aU2-rLqcts9vnDyjSMhU6hYBtkeLqTK1cML8PHVLQGZXP_GJcXkBp03fdGw","20 de Noviembre 26, Albania Alta, 29010 Tuxtla Gutiérrez, Chis., Mexico","20 de Noviembre","26","Albania Alta",29010,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7758837,-93.1072855
"-93.110075, 16.7704343",-93.110075,16.7704343,"Ayuda para el armado de kits de ayuda humanitaria","<img src=""https://lh3.googleusercontent.com/x8FkhLIcix3ONoc5EY1EezH7PheX9lKeky1oXYZs1UlzPGCTDTPx3-oCtEZKLbdnt6ouNCzp6B7xbdSNe1KiZhB0CiVOiCWS_pyAGFmQHrb_SqVee1y7lPhP9AMK1vdD"" height=""200"" width=""auto"" /><br><br>La Cruz Roja Mexicana Delegación Chiapas solicita tu ayuda. Los kits se distribuirán a las familias afectadas de la costa de Chiapas. Interesador presentarse el lunes 11 de septiembre a las 4 de la tarde. Libramiento Norte Oriente No. 480. Albania Baja. Tuxtla Gutiérrez, Chiapas. Requisitos: Mayores de 18 años, deseos de ayudar e identificación oficial.",NA,NA,NA,NA,-1,0,-1,NA,NA,"https://lh3.googleusercontent.com/x8FkhLIcix3ONoc5EY1EezH7PheX9lKeky1oXYZs1UlzPGCTDTPx3-oCtEZKLbdnt6ouNCzp6B7xbdSNe1KiZhB0CiVOiCWS_pyAGFmQHrb_SqVee1y7lPhP9AMK1vdD","Libramiento Nte. Ote. 451, Albania Baja, Pedregal San Antonio, 29010 Tuxtla Gutiérrez, Chis., Mexico","Libramiento Norte Oriente","451","Pedregal San Antonio",29010,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7704343,-93.110075
"-93.1233412, 16.7554203",-93.1233412,16.7554203,"Parque de la Marimba","<img src=""https://lh4.googleusercontent.com/xRpTCTrjwyUP3uftuxpznPC-ZdNcXfCGqD15yl41XfrcOqtDby1JMgYIagfOWKUMufVzqeNf45c-KbDoqJ0iy31XeCa8Mq7M0uM7bcu3JDeO7D5dth0wyLnSQrW-m8Lo"" height=""200"" width=""auto"" /><br><br>#LasOtrasVictimas. Puedes donar: Croquetas para perros y gatos. Analgésicos de uso veterinario con indicaciones. Agua en botellas (agua de tubo para mascotas). 11 de septiembre 10:00 am - 7:00 pm. Todo lo recaudado será entregado a la Cruz Roja Delegación Chiapas para hacer llegar la ayuda a las familias daminificadas con mascotas. ",NA,NA,NA,NA,-1,0,-1,NA,NA,"https://lh4.googleusercontent.com/xRpTCTrjwyUP3uftuxpznPC-ZdNcXfCGqD15yl41XfrcOqtDby1JMgYIagfOWKUMufVzqeNf45c-KbDoqJ0iy31XeCa8Mq7M0uM7bcu3JDeO7D5dth0wyLnSQrW-m8Lo","Calle 9a. Pte Nte 165A, Guadalupe, 29000 Guadalupe, Chis., Mexico","Calle 9a. Poniente Norte","165A","Guadalupe",29000,"Guadalupe","Chiapas","Mexico",16.7554203,-93.1233412
"-93.1627495, 16.7533441",-93.1627495,16.7533441,"Centro de acopio UNACH Parque Terán","Destino: Municipios de Unión Hidalgo y Matías Romero en el hermano estado de Oaxaca (de donde son originarios y originarias). . Se solicita maíz y frijol. Encargados:Estudiantes de la UNACH. Contacto: Tel: 67 49 000 ext. 1780 Horario: Martes 12 de septiembre, de 9 am a 7 pm. Dirección del cartel: https://www.facebook.com/photo.php?fbid=10155642209609547&set=a.258088434546.139603.688664546&type=3&theater",NA,NA,NA,NA,-1,0,-1,NA,NA,"","Av. 1a. Nte. Ote. 318, Terán, 29050 Tuxtla Gutiérrez, Chis., Mexico","Avenida 1a. Norte Oriente","318","Terán",29050,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7533441,-93.1627495
