"coordenadas","Calle","Colonia","Delegacin","EspecialistasFaltantesseparaporcomas","Estado","Foto","HerramientasExistentes","HerramientasFaltantes","Hora","HoradelReporte","ManodeObraExistente","ManodeObraFaltante","MedicamentosExistentes","MedicamentosFaltantes","Municipio","NmeroExterioroAproximado","NmerodePersonasAtrapadas","NmerodePersonasDesaparecidas","NmerodePersonasFallecidas","NmerodePersonasLesionadas","NmerodePersonasRescatadas","OtraReferenciadeUbicacin","Timestamp","TipoDao","TipodeInfraestructura","TipodeUso","TipodelDao","Verificado","VveresExistentes","VveresFaltantes","VveresSobrantes","latitud","longitud","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-98.9939015, 19.2170741","Av. Morelos esquina con 5 mayo ","centro","No Aplica (fuera de CDMX)","Ingenieros, arquitectos","Morelos","","","Herramientas, picos, lonas, cubetas, ",NA,NA,"","50 personas. ","","Si tienes info entra a: http://bit.ly/Verificado19s","Miacatlan, Cuatetelco",0,"0","0","0","0","0","a un lado del sitio de taxis ","9/22/2017 17:38:20","Derrumbe","Casa","Habitacional","Derrumbe","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.2170741,-98.9939015,"Av Morelos 6, Cruztitla, 12100 San Antonio Tecómitl, CDMX, Mexico","Avenida Morelos","6","Cruztitla",12100,"San Antonio Tecómitl","Ciudad de México","Mexico",19.2170741,-98.9939015
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:58","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada",57710,"Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:58","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada",57710,"Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:57","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada",57710,"Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0058241214137, 19.3831015819675","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:15:57","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Viveres",19.3831015819675,-99.0058241214137,"Av de las Torres 180, Gral Vicente Villada, 57710 Nezahualcóyotl, Méx., Mexico","Avenida de las Torres","180","General Vicente Villada",57710,"Nezahualcóyotl","Estado de México","Mexico",19.3831015819675,-99.0058241214137
"-99.0293884277344, 19.5513786440659","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:55:19","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Comida",19.5513786440659,-99.0293884277344,"Secc. 21 37, Rio de Luz, 55100 Ecatepec de Morelos, Méx., Mexico","Sección 21","37","Rio de Luz",55100,"Ecatepec de Morelos","Estado de México","Mexico",19.5513786440659,-99.0293884277344
"-99.0975804, 19.4166697","Avenida 8 ","","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","n/a","rodilleras, coderas, lámparas",1506179243.12777,NA,"n/a","n/a","n/a","n/a","",0,"No sé","No sé","No sé","No sé","No sé","Esquina Calle C","9/21/2017 22:01:24","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","n/a","n/a","Si tienes info entra a: http://bit.ly/Verificado19s",19.4166697,-99.0975804,"Av. 8 19A, Ignacio Zaragoza, 15000 Ignacio Zaragoza, CDMX, Mexico","Avenida 8","19A","Ignacio Zaragoza",15000,"Ignacio Zaragoza","Ciudad de México","Mexico",19.4166697,-99.0975804
"-99.0975804, 19.4166697","Avenida 8 ","","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","n/a","rodilleras, coderas, lámparas",1506179243.12777,NA,"n/a","n/a","n/a","n/a","",0,"No sé","No sé","No sé","No sé","No sé","Esquina Calle C","9/21/2017 22:01:24","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","n/a","n/a","Si tienes info entra a: http://bit.ly/Verificado19s",19.4166697,-99.0975804,"Av. 8 19A, Ignacio Zaragoza, 15000 Ignacio Zaragoza, CDMX, Mexico","Avenida 8","19A","Ignacio Zaragoza",15000,"Ignacio Zaragoza","Ciudad de México","Mexico",19.4166697,-99.0975804
"-99.0975804, 19.4166697","Avenida 8","","Tlalpan","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","n/a","rodilleras, coderas, lámparas de minero, impermeables, cascos, chalecos, arneses, líneas de vida, mosquetones, pilas portátiles cargadas y cables para cargar celulares",1506179243.12777,NA,"n/a","n/a","n/a","n/a","",0,"No sé","No sé","No sé","No sé","No sé","Esquina C MZ XIII","9/21/2017 22:19:38","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","n/a","n/a","Si tienes info entra a: http://bit.ly/Verificado19s",19.4166697,-99.0975804,"Av. 8 19A, Ignacio Zaragoza, 15000 Ignacio Zaragoza, CDMX, Mexico","Avenida 8","19A","Ignacio Zaragoza",15000,"Ignacio Zaragoza","Ciudad de México","Mexico",19.4166697,-99.0975804
"-99.0975804, 19.4166697","Avenida 8","","Tlalpan","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","n/a","rodilleras, coderas, lámparas de minero, impermeables, cascos, chalecos, arneses, líneas de vida, mosquetones, pilas portátiles cargadas y cables para cargar celulares",1506179243.12777,NA,"n/a","n/a","n/a","n/a","",0,"No sé","No sé","No sé","No sé","No sé","Esquina C MZ XIII","9/21/2017 22:19:38","Derrumbe","Edificio","Habitacional","Derrumbe","Sí","n/a","n/a","Si tienes info entra a: http://bit.ly/Verificado19s",19.4166697,-99.0975804,"Av. 8 19A, Ignacio Zaragoza, 15000 Ignacio Zaragoza, CDMX, Mexico","Avenida 8","19A","Ignacio Zaragoza",15000,"Ignacio Zaragoza","Ciudad de México","Mexico",19.4166697,-99.0975804
"-99.1258176, 19.4387459","José joaquin Herrera ","Centro ","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",17,"0","0","0","0","0","Leona Vicario y Manuel Doblado","9/20/2017 16:58:17","Daño Mayor","Edificio","Habitacional","Daño Mayor","","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4387459,-99.1258176,"Calle de José Joaquín de Herrera 17, Centro, 06000 Centro, CDMX, Mexico","Calle de José Joaquín de Herrera","17","Centro",6000,"Centro","Ciudad de México","Mexico",19.4387459,-99.1258176
"-99.1301369, 19.4428766","República de Argentina","Centro","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",111,"0","","","","","Eje 1 norte y República de Costa Rica","9/22/2017 0:45:22","Derrumbe","Edificio","Comercial","Derrumbe","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4428766,-99.1301369,"República de Argentina 111, Morelos, 06000 Morelos, CDMX, Mexico","República de Argentina","111","Morelos",6000,"Morelos","Ciudad de México","Mexico",19.4428766,-99.1301369
"-99.1310124, 19.4417183","República de Argentina","Centro","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México",96,"0","0","0","0","0","República de Paraguay y República de Ecuador","9/22/2017 0:40:08","Derrumbe","Casa","Habitacional","Derrumbe","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4417183,-99.1310124,"República de Argentina 96, Centro, 06000 Centro, CDMX, Mexico","República de Argentina","96","Centro",6000,"Centro","Ciudad de México","Mexico",19.4417183,-99.1310124
"-99.1361541, 19.4243489","Av. Fray Servando Teresa de Mier","Centro","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",150,"0","0","0","0","0","isabel la catolica y 5 de febrero","9/20/2017 21:04:16","Daño","Edificio","Comercial","Daño","No","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4243489,-99.1361541,"Fray Servando Teresa de Mier 150, Centro, 06000 Ejido del Centro, CDMX, Mexico","Fray Servando Teresa de Mier","150","Centro",6000,"Ejido del Centro","Ciudad de México","Mexico",19.4243489,-99.1361541
"-99.1384775, 19.4234129","Triunfo ","Obrera","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",1506179243.12777,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Cuauhtémoc ",34,"0","0","0","0","0","Fray Servando y chimalpopoca ","9/22/2017 16:53:42","Daño","Edificio","Comercial","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4234129,-99.1384775,"Triunfo 34, Centro, 06080 Centro, CDMX, Mexico","Triunfo","34","Centro",6080,"Centro","Ciudad de México","Mexico",19.4234129,-99.1384775
"-99.1390782, 19.4225378","chimalpopoca ","obrera","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",68,"Sí, pero no sé cuántos","Sí, pero no sé cuántos","No sé","Sí, pero no sé cuántos","No sé","frente a bodega ahurrera ","9/22/2017 23:25:14","Derrumbe","Edificio","Habitacional","Derrumbe","No","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4225378,-99.1390782,"Chimalpopoca 68, Centro, 06080 Centro, CDMX, Mexico","Chimalpopoca","68","Centro",6080,"Centro","Ciudad de México","Mexico",19.4225378,-99.1390782
"-99.1395711, 19.4308811","Rep. Uruguay","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","No aplica","No aplica",NA,NA,"No aplica","No aplica","No aplica","No aplica","",25,"","","","","","","9/21/2017 17:22:41","Daño","Edificio","Comercial","Daño","No","No aplica","No aplica","Si tienes info entra a: http://bit.ly/Verificado19s",19.4308811,-99.1395711,"República de Uruguay 25, Centro Histórico, Centro, 06000 Centro, CDMX, Mexico","República de Uruguay","25","Centro",6000,"Centro","Ciudad de México","Mexico",19.4308811,-99.1395711
"-99.1403937, 19.4350341","Av. 5 de Mayo","Centro Historico","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",2,"0","0","0","No sé","No sé","Av. Juarez","9/22/2017 15:09:47","Daño","Edificio","Comercial","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.4350341,-99.1403937,"Av. 5 de Mayo 2, Centro Histórico, Centro, 06000 Ejido del Centro, CDMX, Mexico","Avenida 5 de Mayo","2","Centro",6000,"Ejido del Centro","Ciudad de México","Mexico",19.4350341,-99.1403937
"-99.1404868, 19.4330327","16 de Septiembre ","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","No aplica","No aplica",NA,NA,"No aplica","No aplica","No aplica","No aplica","",6,"","","","","","Casi esquina con Eje Central","9/21/2017 17:24:34","Daño","Edificio","Comercial","Daño","No","No aplica","No aplica","Si tienes info entra a: http://bit.ly/Verificado19s",19.4330327,-99.1404868,"16 de Septiembre 6, Centro Histórico, Centro, 06000 Ejido del Centro, CDMX, Mexico","16 de Septiembre","6","Centro",6000,"Ejido del Centro","Ciudad de México","Mexico",19.4330327,-99.1404868
"-99.1416052, 19.4340655","Av Juárez","Centro","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","0","0",1506179243.12777,NA,"0","0","0","0","",14,"0","0","0","0","0","Entre Lázaro Cárdenas y Calle López","9/21/2017 17:56:07","Daño","Edificio","Comercial","Daño","Sí","0","0","Si tienes info entra a: http://bit.ly/Verificado19s",19.4340655,-99.1416052,"Av. Juárez 14, Colonia Centro, Centro, 06000 Ejido del Centro, CDMX, Mexico","Avenida Juárez","14","Centro",6000,"Ejido del Centro","Ciudad de México","Mexico",19.4340655,-99.1416052
"-99.1436707, 19.3618404","Pirineos","Portales","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",59,"No sé","No sé","0","No sé","No sé","Antillas y Calzada de Tlalpan","9/23/2017 8:35:37","Daño","Edificio","Comercial","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3618404,-99.1436707,"Pirineos 59, Portales Sur, 03300 Benito Juárez, CDMX, Mexico","Pirineos","59","Portales Sur",3300,"Benito Juárez","Ciudad de México","Mexico",19.3618404,-99.1436707
"-99.1436707, 19.3618404","Pirineos","Portales","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",59,"No sé","No sé","0","No sé","No sé","Antillas y Calzada de Tlalpan","9/23/2017 8:35:37","Daño","Edificio","Comercial","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3618404,-99.1436707,"Pirineos 59, Portales Sur, 03300 Benito Juárez, CDMX, Mexico","Pirineos","59","Portales Sur",3300,"Benito Juárez","Ciudad de México","Mexico",19.3618404,-99.1436707
"-99.1436707, 19.3618404","Pirineos ","Portales Sur ","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Benito Juárez ",59,"0","","","","","Casi tlalpan ","9/22/2017 16:18:57","Daño","Edificio","Habitacional","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3618404,-99.1436707,"Pirineos 59, Portales Sur, 03300 Benito Juárez, CDMX, Mexico","Pirineos","59","Portales Sur",3300,"Benito Juárez","Ciudad de México","Mexico",19.3618404,-99.1436707
"-99.1436707, 19.3618404","Pirineos ","Portales Sur ","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","Benito Juárez ",59,"0","","","","","Casi tlalpan ","9/22/2017 16:18:57","Daño","Edificio","Habitacional","Daño","Sí","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3618404,-99.1436707,"Pirineos 59, Portales Sur, 03300 Benito Juárez, CDMX, Mexico","Pirineos","59","Portales Sur",3300,"Benito Juárez","Ciudad de México","Mexico",19.3618404,-99.1436707
"-99.1436879, 19.4313546","José María Marroquí","Centro","","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","0","0",1506179243.12777,NA,"0","0","0","0","",10,"0","0","0","0","0","Esquina con Independencia","9/21/2017 18:53:43","Daño","Edificio","Habitacional","Daño","Sí","0","0","Si tienes info entra a: http://bit.ly/Verificado19s",19.4313546,-99.1436879,"José María Marroquí 67, Colonia Centro, Centro, 06000 Centro, CDMX, Mexico","José María Marroquí","67","Centro",6000,"Centro","Ciudad de México","Mexico",19.4313546,-99.1436879
"-99.1449746, 19.434606","Av Juárez","Centro","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","0","0",1506179243.12777,NA,"0","0","0","0","",56,"0","0","0","0","0","Esquina de Juárez y Luis Moya","9/21/2017 18:28:35","Daño","Edificio","Mixto","Daño","Sí","0","0","Si tienes info entra a: http://bit.ly/Verificado19s",19.434606,-99.1449746,"Av. Juárez 56, Colonia Centro, Centro, 06000 Ejido del Centro, CDMX, Mexico","Avenida Juárez","56","Centro",6000,"Ejido del Centro","Ciudad de México","Mexico",19.434606,-99.1449746
"-99.1461289, 19.3886503","Galicia","N H de Chapultepec ","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",435,"No sé","No sé","No sé","No sé","No sé","Guipzcia","9/20/2017 16:21:39","Derrumbe","Edificio","Habitacional","Derrumbe","","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3886503,-99.1461289,"Galicia 435, Niños Héroes, 03440 Niños Héroes, CDMX, Mexico","Galicia","435","Niños Héroes",3440,"Niños Héroes","Ciudad de México","Mexico",19.3886503,-99.1461289
"-99.1606276, 19.4253217","Havre","Juarez","Cuauhtémoc","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","No","No",NA,NA,"No","No","No","No","",71,"0","0","0","0","0","","9/21/2017 12:49:22","Daño","Edificio","Comercial","Daño","Sí","No"," No","Si tienes info entra a: http://bit.ly/Verificado19s",19.4253217,-99.1606276,"Havre 71, Juárez, 06600 Juárez, CDMX, Mexico","Havre","71","Juárez",6600,"Juárez","Ciudad de México","Mexico",19.4253217,-99.1606276
"-99.1613109, 19.3956842","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 16:11:26","","","","","","","Se Necesita una Sierra electrica Urgente ","Si tienes info entra a: http://bit.ly/Verificado19s",19.3956842,-99.1613109,"Nicolás San Juan 453, Col del Valle Nte, 03103 Del Valle Nte, CDMX, Mexico","Nicolás San Juan","453","Colonia del Valle Norte",3103,"Del Valle Norte","Ciudad de México","Mexico",19.3956842,-99.1613109
"-99.1628576, 19.3920362","Gabriel Mancera","Del Valle","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","Ciudad de México","","No reportado","No reportado",NA,NA,"No reportado","No reportado","No hay","No hace falta","",371,"0","0","0","0","0","Obrero Mundial y Morena","9/21/2017 18:03:27","Daño","Edificio","No se sabe","Daño","Sí","No hay","No se solicitó","Si tienes info entra a: http://bit.ly/Verificado19s",19.3920362,-99.1628576,"Calle Gabriel Mancera 349, Col del Valle Nte, 03103 Del Valle Nte, CDMX, Mexico","Calle Gabriel Mancera","349","Colonia del Valle Norte",3103,"Del Valle Norte","Ciudad de México","Mexico",19.3920362,-99.1628576
"-99.1634819, 19.3771048","Heriberto Frías ","Del Valle ","Benito Juárez","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",1301,"0","0","0","0","0","Pilares y Miguel Laurent ","9/20/2017 16:22:44","Daño","Edificio","Habitacional","Daño","","","Si tienes info entra a: http://bit.ly/Verificado19s","Si tienes info entra a: http://bit.ly/Verificado19s",19.3771048,-99.1634819,"Heriberto Frías 1301, Col del Valle Sur, 03100 Benito Juárez, CDMX, Mexico","Heriberto Frías","1301","Colonia del Valle Sur",3100,"Benito Juárez","Ciudad de México","Mexico",19.3771048,-99.1634819
"-99.1701507568359, 19.395231697006","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:45:52","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Comida ",19.395231697006,-99.1701507568359,"San Francisco 314, Col del Valle Nte, 03103 Del Valle Nte, CDMX, Mexico","San Francisco","314","Colonia del Valle Norte",3103,"Del Valle Norte","Ciudad de México","Mexico",19.395231697006,-99.1701507568359
"-99.1722106933594, 19.3913152184714","","","","Si tienes info entra a: http://bit.ly/Verificado19s","","","","Si tienes info entra a: http://bit.ly/Verificado19s",NA,NA,"","Si tienes info entra a: http://bit.ly/Verificado19s","","Si tienes info entra a: http://bit.ly/Verificado19s","",NA,"","","","","","","09/20/2017 19:19:21","","","","","","","Si tienes info entra a: http://bit.ly/Verificado19s","Brigada de 100 personas ",19.3913152184714,-99.1722106933594,"Santa Barbara 24, Col del Valle Nte, 03100 Del Valle Nte, CDMX, Mexico","Santa Barbara","24","Colonia del Valle Norte",3100,"Del Valle Norte","Ciudad de México","Mexico",19.3913152184714,-99.1722106933594
