"coordenadas","X","Calle","Colonia","Delegacion","Estado","Foto","HerramientasFaltantes","HerramientasSobrantes","Hora","HoradelReporte","ManodeObraFaltante","ManodeObraSobrantes","MedicamentosFaltantes","MedicamentosSobrantes","NumeroExterioroAproximado","NumerodePersonasAtrapadas","NumerodePersonasDesaparecidas","NumerodePersonasFallecidas","NumerodePersonasLesionadas","NumerodePersonasRescatadas","OtraReferenciadeUbicacion","Timestamp","TipodeInfraestructura","TipodeUso","TipodelDano","Verificado","ViveresFaltantes","ViveresSobrantes","latitud","longitud","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-100.1346164, 19.1927759",103,NA,"Centro","Valle de Bravo","Estado de México",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 20:36:37",NA,NA,"Ofrezco",NA,"Refugio / Dónde dormir, Manos",NA,19.1927759,-100.1346164,51200,"Valle de Bravo","Estado de México","Mexico",19.1927759,-100.1346164
"-100.1766289, 25.648907",30,NA,"Mision Santa FE","Guadalupe","Nuevo León",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 18:52:48",NA,NA,"Ofrezco",NA,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",NA,25.648907,-100.1766289,67195,"Guadalupe","Nuevo León","Mexico",25.648907,-100.1766289
"-100.1880555, 25.8713888",55,NA,"Portal de Zuazua","General Zuazua","Nuevo León",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 19:37:01",NA,NA,"Ofrezco",NA,"Comida, Agua, Refugio / Dónde dormir, Manos",NA,25.8713888,-100.1880555,NA,"Portal de Zuazua","Nuevo León","Mexico",25.8713888,-100.1880555
"-100.2032829, 25.7200059",671,NA,"Residencial santa fe","","Nuevo Leon ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-20 19:18:54",NA,NA,"Ofrezco",NA,"Manos / Voluntarios, Artículos de limpieza, Ropa",NA,25.7200059,-100.2032829,67117,"Guadalupe","Nuevo León","Mexico",25.7200059,-100.2032829
"-100.2071004, 25.5307769",35,NA,"Antigua Hacienda Santa anita","Monterrey","Nuevo León ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 19:08:08",NA,NA,"Ofrezco",NA,"Comida, Agua, Ropa",NA,25.5307769,-100.2071004,64990,"Monterrey","Nuevo León","Mexico",25.5307769,-100.2071004
"-100.2722814, 25.7603004",283,NA,"Residencia Roble","","Nuevo León ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-20 00:57:13",NA,NA,"Ofrezco",NA,"Manos, Asistencia médica",NA,25.7603004,-100.2722814,66414,"San Nicolás de los Garza","Nuevo León","Mexico",25.7603004,-100.2722814
"-100.2771894, 25.7628772",455,NA,"Hacienda el Roble ","San Nicolás de los Garza ","Nuevo León ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-20 11:48:46",NA,NA,"Ofrezco",NA,"Comida, Artículos de limpieza, Medicamentos, Ropa",NA,25.7628772,-100.2771894,66417,"San Nicolás de los Garza","Nuevo León","Mexico",25.7628772,-100.2771894
"-100.2771894, 25.7628772",455,NA,"Hacienda el Roble ","San Nicolás de los Garza ","Nuevo León ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-20 11:48:46",NA,NA,"Ofrezco",NA,"Comida, Artículos de limpieza, Medicamentos, Ropa",NA,25.7628772,-100.2771894,66417,"San Nicolás de los Garza","Nuevo León","Mexico",25.7628772,-100.2771894
"-100.2771894, 25.7628772",124,NA,"HACIENDA EL ROBLE","SAN NICOLÁS","NUEVO LEÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 20:55:53",NA,NA,"Ofrezco",NA,"Ropa",NA,25.7628772,-100.2771894,66417,"San Nicolás de los Garza","Nuevo León","Mexico",25.7628772,-100.2771894
"-100.2771894, 25.7628772",124,NA,"HACIENDA EL ROBLE","SAN NICOLÁS","NUEVO LEÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2017-09-19 20:55:53",NA,NA,"Ofrezco",NA,"Ropa",NA,25.7628772,-100.2771894,66417,"San Nicolás de los Garza","Nuevo León","Mexico",25.7628772,-100.2771894
