"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Direcci__n","Ciudad__Estado","Nombre","Tel__fono","Informaci__n_Adicional","URL","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-98.75166, 18.4988567",-98.75166,18.4988567,"Albergue Morelos","Dirección: Independencia<br>Ciudad, Estado: Axochiapan Mor<br>Nombre: Salon Rodriguez<br>Teléfono: <br>Información Adicional: Av. Indepencencia casi esq. Libertad. Frente a Gasoline<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Independencia","Axochiapan Mor","Salon Rodriguez","","Av. Indepencencia casi esq. Libertad. Frente a Gasoline","","Salón Rodríguez, Independencia, Col del Carmen, 62950 Axochiapan, Mor., Mexico","Independencia",NA,"Colonia del Carmen",62950,"Axochiapan","Morelos","Mexico",18.4988567,-98.75166
"-98.950925, 18.8207047",-98.950925,18.8207047,"Albergue Morelos","Dirección: Sufragio Efect<br>Ciudad, Estado: Cuautla Mor<br>Nombre: Iglesia<br>Teléfono: +52 735 398 0773<br>Información Adicional: Sufragio Efectivo Col. Emiliano Zapata<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sufragio Efect","Cuautla Mor","Iglesia","+52 735 398 0773","Sufragio Efectivo Col. Emiliano Zapata","","Calle Sufragio Efectivo 46, Emiliano Zapata, 62744 Cuautla, Mor., Mexico","Calle Sufragio Efectivo","46","Emiliano Zapata",62744,"Cuautla","Morelos","Mexico",18.8207047,-98.950925
"-98.98307, 18.957",-98.98307,18.957,"Albergue Morelos","Dirección: Justo Sierra<br>Ciudad, Estado: Tlayacapan Mor<br>Nombre: Plaza Cívica<br>Teléfono: <br>Información Adicional: Justo Sierra, 62540<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Justo Sierra","Tlayacapan Mor","Plaza Cívica","","Justo Sierra, 62540","","Del Mercado 6, Centro, 62540 Centro, Mor., Mexico","Del Mercado","6","Centro",62540,"Centro","Morelos","Mexico",18.957,-98.98307
"-99.0266532, 19.2000098",-99.0266532,19.2000098,"Albergue","Dirección: Sinaloa Nte.<br>Ciudad, Estado: CDMX<br>Nombre: Gimnasio de Villa Milpa Alta<br>Teléfono: +52 55 5844 1920<br>Información Adicional: <br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Sinaloa Nte.","CDMX","Gimnasio de Villa Milpa Alta","+52 55 5844 1920","","","Calle Sinaloa Nte 161, Villa Milpa Alta, Santa Martha, 12000 Villa Milpa Alta, CDMX, Mexico","Calle Sinaloa Norte","161","Santa Martha",12000,"Villa Milpa Alta","Ciudad de México","Mexico",19.2000098,-99.0266532
"-99.081424, 18.86947",-99.081424,18.86947,"Albergue Morelos","Dirección: Cuer. - Cuautla<br>Ciudad, Estado: Yautepec Mor<br>Nombre: Unidad Deportiva Atlihuayán<br>Teléfono: <br>Información Adicional: MEX-138 Cuernavaca - Cuautla casi esq Revolución, 62730<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Cuer. - Cuautla","Yautepec Mor","Unidad Deportiva Atlihuayán","","MEX-138 Cuernavaca - Cuautla casi esq Revolución, 62730","","Cuernavaca-Cuautla 41, Atlihuayan, 62730 Yautepec, Mor., Mexico","Cuernavaca-Cuautla","41","Atlihuayan",62730,"Yautepec","Morelos","Mexico",18.86947,-99.081424
"-99.1404607, 18.8897582",-99.1404607,18.8897582,"Albergue Morelos","Dirección: UPEMOR<br>Ciudad, Estado: Jiutepec Mor<br>Nombre: Universidad Politecnica del Estado de Morelos<br>Teléfono: +52 777 229 3500<br>Información Adicional: Blvd. Paseo Cuauhnáhuac 566, 62550<br>URL: www.upemor.edu.mx",NA,NA,NA,NA,-1,0,-1,NA,NA,"UPEMOR","Jiutepec Mor","Universidad Politecnica del Estado de Morelos","+52 777 229 3500","Blvd. Paseo Cuauhnáhuac 566, 62550","www.upemor.edu.mx","Cuernavaca-Cuautla 3200, Lomas del Texcal, Progreso, Mor., Mexico","Cuernavaca-Cuautla","3200","Lomas del Texcal",NA,"Progreso","Morelos","Mexico",18.8897582,-99.1404607
"-99.1731206, 18.6177021",-99.1731206,18.6177021,"Albergue Morelos","Dirección: Av Tec Industri<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Unidad Deportiva Niños Héroes<br>Teléfono: <br>Información Adicional: Av Instituto Técnico Industrial y Comercial, 62900<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Av Tec Industri","Jojutla Mor","Unidad Deportiva Niños Héroes","","Av Instituto Técnico Industrial y Comercial, 62900","","10 de Abril, 3 de Mayo, 62900 Jojutla de Juárez, Mor., Mexico","10 de Abril",NA,"3 de Mayo",62900,"Jojutla de Juárez","Morelos","Mexico",18.6177021,-99.1731206
"-99.1750819, 18.6142049",-99.1750819,18.6142049,"Albergue Morelos","Dirección: 10 de Abril<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Jardín de NIños Fermina Rivera Vda de Rivera<br>Teléfono: <br>Información Adicional: 10 de Abril esquina Francisco I. Madero<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"10 de Abril","Jojutla Mor","Jardín de NIños Fermina Rivera Vda de Rivera","","10 de Abril esquina Francisco I. Madero","","10 de Abril 117, Emiliano Zapata, 62900 Jojutla de Juárez, Mor., Mexico","10 de Abril","117","Emiliano Zapata",62900,"Jojutla de Juárez","Morelos","Mexico",18.6142049,-99.1750819
"-99.177445, 18.8757658",-99.177445,18.8757658,"Albergue Morelos","Dirección: 20 de Noviembre<br>Ciudad, Estado: Jiutepec Mor<br>Nombre: William Shakespeare College<br>Teléfono: +52 777 245 0856<br>Información Adicional: Poeta Isaías Alanis 39, Centro, 62550<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"20 de Noviembre","Jiutepec Mor","William Shakespeare College","+52 777 245 0856","Poeta Isaías Alanis 39, Centro, 62550","","Calle 20 de Noviembre Sur 39, Vista Hermosa, 62550 Jiutepec, Mor., Mexico","Calle 20 de Noviembre Sur","39","Vista Hermosa",62550,"Jiutepec","Morelos","Mexico",18.8757658,-99.177445
"-99.1831866, 18.6237498",-99.1831866,18.6237498,"Albergue Morelos","Dirección: Benito Juárez<br>Ciudad, Estado: Jojutla Mor<br>Nombre: Unidad Deportiva Perseverancia<br>Teléfono: <br>Información Adicional: Benito Juárez esq. Lázaro Cárdenas<br>URL:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Benito Juárez","Jojutla Mor","Unidad Deportiva Perseverancia","","Benito Juárez esq. Lázaro Cárdenas","","Lázaro Cárdenas 432, Cuauhtemoc, 62900 Jojutla de Juárez, Mor., Mexico","Lázaro Cárdenas","432","Cuauhtemoc",62900,"Jojutla de Juárez","Morelos","Mexico",18.6237498,-99.1831866
